id_student,perfil_aluno,n_ciclos,consistencia,final_result
31296,Tardio,5,0.8,Fail
35747,Insuficiente,1,1.0,Withdrawn
35796,Insuficiente,1,1.0,Fail
40857,Insuficiente,1,1.0,Withdrawn
40878,Equilibrado,5,0.6,Distinction
42552,Equilibrado,5,0.6,Pass
43958,Equilibrado,3,0.6666666666666666,Fail
45423,Adiantado,5,0.8,Fail
47861,Adiantado,5,0.6,Pass
56637,Adiantado,5,1.0,Distinction
56667,Misto,4,0.5,Fail
58884,Adiantado,5,0.6,Distinction
63112,Tardio,3,0.6666666666666666,Withdrawn
64427,Adiantado,5,0.6,Distinction
66892,Insuficiente,1,1.0,Withdrawn
69439,Insuficiente,2,0.5,Withdrawn
71159,Equilibrado,5,0.6,Pass
74165,Misto,5,0.4,Pass
75107,Adiantado,5,1.0,Distinction
77692,Tardio,5,0.8,Pass
77995,Tardio,3,0.6666666666666666,Pass
79610,Adiantado,5,0.8,Pass
80438,Misto,4,0.5,Pass
84604,Adiantado,5,0.8,Distinction
85241,Insuficiente,1,1.0,Withdrawn
87264,Misto,5,0.4,Distinction
87322,Misto,4,0.5,Pass
91801,Insuficiente,1,1.0,Withdrawn
94749,Equilibrado,3,0.6666666666666666,Fail
98256,Insuficiente,2,0.5,Withdrawn
101217,Insuficiente,1,1.0,Fail
102854,Adiantado,5,0.8,Distinction
105125,Insuficiente,1,1.0,Withdrawn
105939,Adiantado,5,0.6,Pass
107455,Misto,5,0.4,Fail
108949,Insuficiente,2,0.5,Fail
109577,Misto,4,0.5,Pass
110820,Insuficiente,2,1.0,Withdrawn
113702,Insuficiente,2,0.5,Withdrawn
116529,Insuficiente,2,0.5,Fail
119310,Adiantado,5,0.6,Pass
119865,Adiantado,5,0.8,Distinction
125063,Misto,5,0.4,Fail
127179,Insuficiente,1,1.0,Withdrawn
129907,Adiantado,5,0.8,Distinction
130409,Misto,4,0.5,Pass
131597,Misto,4,0.5,Pass
132423,Insuficiente,1,1.0,Withdrawn
132475,Adiantado,5,0.6,Pass
135280,Misto,5,0.4,Distinction
136944,Misto,4,0.5,Pass
139206,Equilibrado,5,0.6,Distinction
142310,Adiantado,5,0.6,Pass
143755,Misto,3,0.3333333333333333,Pass
144959,Insuficiente,2,0.5,Withdrawn
149178,Adiantado,4,0.75,Pass
150282,Adiantado,5,0.8,Pass
152524,Adiantado,5,0.8,Distinction
152917,Equilibrado,5,0.6,Distinction
155938,Adiantado,5,0.8,Pass
157225,Insuficiente,1,1.0,Withdrawn
159906,Misto,4,0.5,Pass
159947,Adiantado,5,0.8,Fail
164148,Adiantado,5,0.6,Pass
166123,Misto,5,0.4,Pass
169596,Equilibrado,3,1.0,Fail
170874,Adiantado,5,0.6,Pass
171692,Insuficiente,2,1.0,Withdrawn
172493,Adiantado,5,0.8,Pass
173412,Insuficiente,2,0.5,Withdrawn
177492,Adiantado,5,0.8,Distinction
184627,Insuficiente,1,1.0,Withdrawn
184720,Insuficiente,2,1.0,Fail
185994,Adiantado,5,1.0,Pass
191504,Insuficiente,1,1.0,Withdrawn
194163,Equilibrado,5,0.6,Pass
195246,Adiantado,4,1.0,Fail
195552,Adiantado,5,0.8,Pass
197536,Misto,4,0.5,Pass
199009,Equilibrado,5,0.8,Pass
204117,Insuficiente,2,1.0,Withdrawn
226955,Misto,4,0.5,Fail
228633,Equilibrado,5,0.6,Pass
229498,Adiantado,5,0.8,Pass
230947,Insuficiente,1,1.0,Fail
232173,Adiantado,5,0.6,Pass
234661,Misto,5,0.4,Pass
235747,Insuficiente,1,1.0,Withdrawn
235768,Misto,4,0.5,Pass
235971,Adiantado,5,0.8,Pass
236090,Adiantado,5,0.6,Fail
237891,Equilibrado,5,0.6,Pass
249357,Misto,5,0.4,Pass
251166,Adiantado,5,0.8,Fail
253633,Adiantado,5,0.8,Pass
253763,Adiantado,5,0.6,Distinction
258245,Misto,5,0.4,Pass
258509,Equilibrado,5,0.8,Pass
258978,Misto,5,0.4,Pass
261863,Equilibrado,3,0.6666666666666666,Withdrawn
262025,Tardio,5,0.6,Pass
262394,Tardio,5,0.8,Fail
263862,Misto,5,0.4,Distinction
265497,Misto,4,0.5,Pass
268823,Insuficiente,1,1.0,Fail
269584,Misto,5,0.4,Pass
270421,Tardio,5,1.0,Pass
275127,Insuficiente,1,1.0,Withdrawn
276265,Insuficiente,2,0.5,Pass
276337,Insuficiente,1,1.0,Withdrawn
277384,Insuficiente,2,0.5,Withdrawn
278380,Misto,5,0.4,Pass
279440,Equilibrado,5,0.6,Pass
279653,Adiantado,5,0.6,Distinction
279883,Insuficiente,1,1.0,Withdrawn
281134,Adiantado,5,0.6,Pass
282849,Adiantado,5,0.8,Pass
283402,Adiantado,5,0.6,Pass
286778,Misto,5,0.4,Distinction
287079,Adiantado,5,0.8,Fail
287258,Adiantado,5,1.0,Pass
289247,Equilibrado,5,0.6,Distinction
294112,Insuficiente,2,1.0,Fail
294219,Misto,5,0.4,Distinction
294920,Insuficiente,2,1.0,Withdrawn
294929,Misto,4,0.5,Pass
295893,Insuficiente,1,1.0,Fail
297218,Equilibrado,5,0.6,Pass
297341,Misto,4,0.5,Pass
301074,Equilibrado,5,0.6,Pass
301561,Insuficiente,2,0.5,Withdrawn
305064,Adiantado,5,1.0,Pass
305659,Tardio,5,0.6,Distinction
310205,Equilibrado,5,0.8,Fail
312126,Insuficiente,2,0.5,Withdrawn
312231,Misto,4,0.5,Pass
312960,Tardio,5,0.8,Pass
315795,Equilibrado,5,0.6,Pass
316082,Misto,5,0.4,Distinction
318139,Insuficiente,2,0.5,Withdrawn
318147,Adiantado,5,0.6,Pass
319073,Misto,5,0.4,Pass
320133,Adiantado,5,0.8,Distinction
320612,Adiantado,5,1.0,Distinction
322499,Insuficiente,2,0.5,Withdrawn
328797,Tardio,4,1.0,Fail
329895,Adiantado,3,0.6666666666666666,Pass
331789,Adiantado,5,0.8,Pass
332237,Insuficiente,1,1.0,Fail
333993,Misto,5,0.4,Pass
334224,Adiantado,3,0.6666666666666666,Withdrawn
335095,Equilibrado,4,0.75,Pass
337000,Adiantado,5,1.0,Pass
338689,Misto,5,0.4,Pass
338806,Tardio,3,0.6666666666666666,Pass
339519,Misto,5,0.4,Pass
340831,Insuficiente,1,1.0,Withdrawn
341093,Insuficiente,1,1.0,Fail
341457,Equilibrado,3,0.6666666666666666,Withdrawn
341629,Adiantado,5,0.6,Fail
343709,Tardio,4,0.75,Pass
345271,Adiantado,5,0.8,Distinction
347197,Adiantado,5,0.6,Distinction
348108,Tardio,5,0.8,Pass
348324,Adiantado,5,0.8,Pass
349515,Misto,4,0.5,Pass
351147,Adiantado,5,0.8,Pass
354698,Tardio,5,0.8,Pass
355293,Adiantado,5,0.6,Pass
364066,Adiantado,5,0.6,Distinction
366140,Adiantado,5,0.6,Pass
367151,Misto,4,0.5,Withdrawn
369242,Adiantado,5,0.6,Pass
369450,Adiantado,5,0.6,Pass
369644,Insuficiente,2,0.5,Withdrawn
370735,Tardio,5,0.6,Pass
372345,Tardio,4,0.75,Pass
372509,Adiantado,5,0.6,Pass
372511,Tardio,5,0.6,Pass
374353,Insuficiente,2,0.5,Withdrawn
375527,Misto,4,0.5,Pass
378705,Insuficiente,2,1.0,Fail
378946,Adiantado,5,0.6,Pass
379278,Adiantado,3,0.6666666666666666,Fail
379311,Insuficiente,2,0.5,Fail
379563,Insuficiente,1,1.0,Withdrawn
380952,Misto,4,0.5,Pass
381257,Adiantado,5,0.6,Pass
381414,Adiantado,5,0.6,Pass
381428,Insuficiente,2,1.0,Withdrawn
381529,Insuficiente,1,1.0,Withdrawn
383445,Misto,4,0.5,Fail
383602,Misto,5,0.4,Pass
383629,Misto,5,0.4,Pass
384107,Misto,4,0.5,Fail
386121,Insuficiente,1,1.0,Withdrawn
386389,Misto,5,0.4,Pass
386956,Insuficiente,2,0.5,Withdrawn
389853,Insuficiente,2,1.0,Withdrawn
390070,Tardio,5,0.6,Fail
393141,Insuficiente,2,0.5,Fail
395758,Insuficiente,2,1.0,Withdrawn
396683,Tardio,5,0.6,Pass
396834,Misto,4,0.5,Pass
396907,Misto,3,0.3333333333333333,Fail
397219,Adiantado,5,0.6,Distinction
397292,Insuficiente,2,1.0,Fail
397671,Adiantado,5,1.0,Distinction
398550,Equilibrado,5,0.6,Distinction
398630,Tardio,5,0.6,Pass
399429,Adiantado,5,0.8,Distinction
402695,Adiantado,5,0.6,Pass
405193,Adiantado,5,0.8,Pass
407232,Adiantado,5,0.6,Pass
408499,Insuficiente,2,1.0,Withdrawn
410407,Adiantado,5,0.8,Distinction
410883,Tardio,5,0.8,Pass
411304,Misto,5,0.4,Pass
412353,Adiantado,5,1.0,Pass
413180,Equilibrado,5,0.6,Pass
413709,Equilibrado,5,0.8,Pass
413949,Adiantado,5,0.6,Pass
416199,Adiantado,5,0.8,Pass
416407,Adiantado,5,0.8,Pass
418201,Adiantado,3,0.6666666666666666,Fail
419059,Equilibrado,5,0.6,Distinction
419081,Insuficiente,2,0.5,Fail
420834,Insuficiente,1,1.0,Withdrawn
421070,Insuficiente,2,0.5,Withdrawn
423210,Tardio,5,0.6,Pass
423488,Misto,4,0.5,Fail
423781,Adiantado,5,0.6,Pass
427256,Adiantado,5,0.8,Pass
429832,Tardio,5,1.0,Fail
431139,Adiantado,5,0.6,Pass
434476,Equilibrado,5,0.6,Pass
438063,Insuficiente,2,0.5,Fail
438644,Insuficiente,2,1.0,Fail
439950,Tardio,3,1.0,Fail
439995,Equilibrado,5,0.6,Pass
440818,Adiantado,5,0.8,Pass
441165,Equilibrado,5,0.6,Pass
441421,Tardio,3,0.6666666666666666,Fail
442199,Tardio,4,0.75,Pass
442347,Insuficiente,1,1.0,Withdrawn
442563,Adiantado,5,0.6,Pass
442802,Adiantado,5,0.6,Pass
443151,Misto,5,0.4,Pass
443514,Adiantado,5,0.6,Pass
443696,Adiantado,5,0.6,Fail
444011,Misto,5,0.4,Pass
444619,Misto,5,0.4,Pass
444907,Equilibrado,5,0.6,Pass
445686,Equilibrado,4,0.75,Pass
464522,Insuficiente,1,1.0,Withdrawn
465009,Insuficiente,1,1.0,Withdrawn
465078,Insuficiente,2,0.5,Withdrawn
465121,Misto,4,0.5,Fail
465294,Equilibrado,5,0.6,Pass
466120,Misto,4,0.5,Fail
466807,Tardio,3,0.6666666666666666,Withdrawn
466987,Equilibrado,5,0.8,Pass
467363,Adiantado,5,0.6,Fail
469499,Equilibrado,5,0.6,Pass
471284,Tardio,5,0.6,Fail
474667,Tardio,5,0.6,Pass
475015,Adiantado,5,0.6,Pass
476401,Adiantado,5,0.8,Pass
476629,Adiantado,5,1.0,Pass
477833,Equilibrado,5,0.6,Fail
479939,Adiantado,5,0.6,Pass
480303,Insuficiente,2,0.5,Fail
481240,Insuficiente,1,1.0,Withdrawn
481717,Adiantado,5,1.0,Pass
482644,Equilibrado,5,0.6,Pass
483037,Adiantado,5,0.6,Pass
483656,Insuficiente,2,1.0,Withdrawn
484010,Misto,4,0.5,Fail
484494,Insuficiente,1,1.0,Withdrawn
484594,Adiantado,5,1.0,Pass
485228,Adiantado,5,0.8,Fail
486087,Equilibrado,5,0.6,Distinction
486964,Misto,5,0.4,Pass
488525,Misto,5,0.4,Pass
489553,Misto,4,0.5,Fail
490297,Insuficiente,1,1.0,Fail
491077,Insuficiente,1,1.0,Withdrawn
491126,Misto,5,0.4,Pass
491756,Insuficiente,2,0.5,Withdrawn
491863,Equilibrado,5,0.8,Pass
491959,Insuficiente,1,1.0,Withdrawn
492024,Tardio,5,0.6,Pass
492557,Insuficiente,2,1.0,Withdrawn
493793,Equilibrado,5,0.6,Pass
494046,Adiantado,4,1.0,Pass
494184,Adiantado,5,0.6,Pass
496493,Insuficiente,2,1.0,Withdrawn
497415,Adiantado,5,0.6,Pass
498442,Misto,5,0.4,Distinction
499244,Insuficiente,2,0.5,Withdrawn
499404,Equilibrado,5,0.8,Pass
500068,Adiantado,5,0.8,Pass
500618,Adiantado,5,0.6,Pass
501444,Adiantado,5,0.6,Distinction
501897,Adiantado,4,0.75,Withdrawn
502011,Equilibrado,5,0.6,Pass
503684,Insuficiente,1,1.0,Withdrawn
504270,Insuficiente,1,1.0,Fail
505773,Adiantado,5,0.6,Distinction
506705,Tardio,5,0.6,Pass
507311,Insuficiente,1,1.0,Fail
507743,Adiantado,5,0.6,Pass
507935,Adiantado,5,0.6,Distinction
508626,Adiantado,5,1.0,Pass
509536,Adiantado,5,0.6,Pass
511309,Adiantado,5,0.8,Pass
511350,Tardio,3,1.0,Fail
511981,Adiantado,5,0.6,Pass
513272,Insuficiente,2,0.5,Fail
513422,Equilibrado,5,0.8,Pass
513428,Misto,5,0.4,Pass
514078,Equilibrado,5,0.8,Pass
514556,Adiantado,4,0.75,Fail
516602,Misto,5,0.4,Distinction
517551,Misto,5,0.4,Pass
519115,Equilibrado,5,0.6,Fail
521032,Insuficiente,1,1.0,Withdrawn
521115,Equilibrado,5,0.6,Pass
521153,Insuficiente,2,1.0,Fail
521255,Insuficiente,2,1.0,Fail
522082,Adiantado,5,0.8,Pass
523017,Adiantado,5,0.6,Pass
523249,Misto,5,0.4,Pass
524827,Insuficiente,2,0.5,Withdrawn
526721,Adiantado,5,0.8,Distinction
526819,Misto,5,0.4,Fail
527619,Insuficiente,1,1.0,Withdrawn
529693,Equilibrado,5,0.6,Pass
529991,Equilibrado,5,0.8,Pass
530148,Misto,4,0.5,Withdrawn
531018,Adiantado,5,0.6,Distinction
531871,Misto,5,0.4,Pass
532254,Equilibrado,5,0.6,Pass
533418,Adiantado,5,1.0,Distinction
534018,Insuficiente,1,1.0,Withdrawn
534112,Adiantado,4,0.75,Withdrawn
534457,Misto,5,0.4,Pass
535542,Insuficiente,1,1.0,Withdrawn
535671,Misto,4,0.5,Pass
535997,Insuficiente,2,0.5,Withdrawn
536351,Adiantado,5,0.6,Pass
536475,Tardio,5,0.8,Fail
536963,Misto,5,0.4,Pass
537322,Equilibrado,5,0.8,Pass
537606,Insuficiente,2,0.5,Fail
537811,Adiantado,5,0.8,Distinction
539308,Misto,5,0.4,Fail
539945,Equilibrado,5,0.8,Pass
540723,Adiantado,5,0.6,Pass
541532,Adiantado,4,1.0,Withdrawn
541921,Adiantado,5,0.8,Pass
542202,Adiantado,5,0.8,Pass
542550,Insuficiente,2,1.0,Withdrawn
543010,Adiantado,5,0.8,Fail
543432,Adiantado,3,0.6666666666666666,Withdrawn
544141,Insuficiente,2,0.5,Fail
544745,Misto,4,0.5,Fail
545164,Adiantado,5,0.8,Pass
545962,Equilibrado,5,0.6,Pass
546547,Misto,5,0.4,Pass
546645,Adiantado,5,0.8,Pass
547347,Adiantado,5,0.6,Pass
549219,Equilibrado,5,0.6,Pass
549321,Misto,5,0.4,Distinction
549523,Insuficiente,2,0.5,Fail
549847,Adiantado,5,0.6,Pass
550420,Adiantado,5,1.0,Distinction
550703,Adiantado,5,0.8,Distinction
552173,Adiantado,5,1.0,Pass
553031,Adiantado,5,0.6,Pass
553284,Adiantado,5,0.8,Pass
553813,Tardio,4,1.0,Pass
554063,Equilibrado,5,1.0,Distinction
554525,Adiantado,5,0.8,Pass
555049,Adiantado,5,0.6,Distinction
555827,Misto,3,0.3333333333333333,Fail
556126,Misto,4,0.5,Pass
557085,Adiantado,5,0.6,Distinction
557290,Adiantado,5,0.8,Pass
557792,Insuficiente,1,1.0,Withdrawn
557830,Insuficiente,1,1.0,Fail
558044,Adiantado,5,0.6,Distinction
558342,Insuficiente,2,1.0,Fail
558764,Adiantado,5,0.8,Pass
560047,Adiantado,5,0.6,Pass
560459,Misto,4,0.5,Withdrawn
560645,Adiantado,5,0.6,Pass
560765,Insuficiente,1,1.0,Withdrawn
561231,Misto,5,0.4,Pass
562064,Tardio,3,1.0,Pass
562754,Equilibrado,5,0.6,Pass
562990,Misto,4,0.5,Pass
563108,Equilibrado,5,1.0,Pass
563414,Equilibrado,5,0.6,Pass
564243,Equilibrado,5,0.6,Pass
564617,Adiantado,5,1.0,Fail
564770,Insuficiente,1,1.0,Fail
564821,Insuficiente,1,1.0,Withdrawn
564933,Adiantado,5,0.6,Distinction
565017,Adiantado,5,0.6,Pass
566823,Insuficiente,2,0.5,Fail
568987,Tardio,3,0.6666666666666666,Fail
568998,Insuficiente,2,1.0,Withdrawn
569034,Adiantado,5,0.8,Pass
569080,Equilibrado,5,0.8,Pass
569108,Equilibrado,5,0.6,Distinction
569876,Adiantado,5,0.8,Pass
570004,Adiantado,3,0.6666666666666666,Fail
570213,Adiantado,5,0.6,Fail
570689,Insuficiente,2,0.5,Fail
571074,Adiantado,5,0.6,Distinction
571950,Insuficiente,1,1.0,Withdrawn
572071,Insuficiente,1,1.0,Fail
572074,Misto,4,0.5,Pass
572213,Misto,5,0.4,Distinction
572265,Insuficiente,2,1.0,Fail
573007,Insuficiente,1,1.0,Withdrawn
573583,Tardio,5,0.6,Pass
573697,Insuficiente,2,1.0,Withdrawn
574527,Equilibrado,5,0.8,Fail
574695,Insuficiente,1,1.0,Withdrawn
575069,Equilibrado,5,0.8,Pass
575112,Adiantado,5,0.6,Pass
575302,Adiantado,5,0.6,Pass
575685,Tardio,3,0.6666666666666666,Fail
577032,Adiantado,4,0.75,Fail
577429,Adiantado,3,0.6666666666666666,Fail
577533,Tardio,4,0.75,Pass
578152,Adiantado,5,0.6,Pass
578495,Insuficiente,1,1.0,Withdrawn
578847,Adiantado,5,0.8,Distinction
579221,Insuficiente,2,1.0,Withdrawn
579660,Misto,5,0.4,Pass
579686,Equilibrado,5,0.6,Pass
580459,Adiantado,5,0.6,Pass
580834,Adiantado,5,0.6,Distinction
580845,Misto,5,0.4,Pass
580926,Insuficiente,2,0.5,Fail
581219,Insuficiente,1,1.0,Fail
581253,Adiantado,5,0.6,Pass
581659,Adiantado,5,0.6,Distinction
581779,Adiantado,5,0.8,Pass
582034,Adiantado,3,0.6666666666666666,Withdrawn
582117,Adiantado,5,0.6,Pass
582266,Misto,4,0.5,Fail
582332,Adiantado,5,0.8,Distinction
582530,Insuficiente,2,1.0,Fail
582653,Equilibrado,5,0.6,Pass
582670,Adiantado,4,0.75,Fail
583056,Adiantado,4,0.75,Fail
583318,Tardio,5,0.6,Pass
583487,Adiantado,5,1.0,Pass
584515,Adiantado,5,0.8,Pass
584673,Insuficiente,2,0.5,Fail
585224,Adiantado,5,0.6,Pass
585261,Misto,4,0.5,Pass
585284,Equilibrado,5,0.6,Pass
585503,Adiantado,5,0.8,Distinction
585572,Misto,4,0.5,Fail
585825,Adiantado,3,1.0,Withdrawn
585958,Adiantado,5,0.8,Pass
586811,Insuficiente,1,1.0,Fail
586906,Equilibrado,5,0.8,Pass
587509,Insuficiente,1,1.0,Fail
587571,Adiantado,5,1.0,Distinction
587654,Insuficiente,2,0.5,Withdrawn
587706,Insuficiente,2,0.5,Fail
588128,Misto,5,0.4,Pass
588628,Adiantado,5,0.8,Pass
589080,Adiantado,5,0.6,Distinction
