metrica,linkage,k,silhueta_media,cofenetica,n_grupos_obtidos,maior_grupo,menor_grupo
cityblock,complete,2,,0.3889228571327057,1,7118,7118
cityblock,complete,3,,0.3889228571327057,1,7118,7118
cityblock,complete,4,0.06315132518089667,0.3889228571327057,4,4526,117
cityblock,complete,5,0.13265023327538913,0.3889228571327057,5,3372,117
cityblock,complete,6,0.128328174501502,0.3889228571327057,6,3372,11
cityblock,complete,7,0.14652497400418255,0.3889228571327057,7,2194,11
cityblock,complete,8,0.13471341745297155,0.3889228571327057,8,2194,11
cityblock,average,2,0.5370714440986962,0.7385734252136524,2,7108,10
cityblock,average,3,0.42512396831907207,0.7385734252136524,3,6538,10
cityblock,average,4,0.3200744481441837,0.7385734252136524,4,6472,10
cityblock,average,5,0.3109799098536457,0.7385734252136524,5,6238,10
cityblock,average,6,0.2536997580316255,0.7385734252136524,6,5995,10
cityblock,average,7,0.23622669841399965,0.7385734252136524,7,5995,10
cityblock,average,8,0.20952228793831434,0.7385734252136524,8,5681,10
cityblock,single,2,0.4792752261457604,0.5826714426785753,2,7114,4
cityblock,single,3,0.475588591429274,0.5826714426785753,3,7109,4
cityblock,single,4,0.44293437517829404,0.5826714426785753,4,7109,1
cityblock,single,5,0.4267617358783563,0.5826714426785753,5,7105,1
cityblock,single,6,0.3888954751032776,0.5826714426785753,6,7097,1
cityblock,single,7,0.37712166673935965,0.5826714426785753,7,7096,1
cityblock,single,8,0.35834499236918,0.5826714426785753,8,7092,1
