metrica,linkage,k,silhueta_media,cofenetica,n_grupos_obtidos,maior_grupo,menor_grupo
cosine,ward_corda,2,0.31383507403787325,0.38300945569540884,2,5674,1444
cosine,ward_corda,3,0.17535656565600616,0.38300945569540884,3,3842,1444
cosine,ward_corda,4,0.13172667770311727,0.38300945569540884,4,2839,1003
cosine,ward_corda,5,0.12453782684590134,0.38300945569540884,5,2839,774
cosine,ward_corda,6,0.12842556440595113,0.38300945569540884,6,2099,740
cosine,ward_corda,7,0.10463049100470506,0.38300945569540884,7,1602,497
cosine,ward_corda,8,0.08466667806679253,0.38300945569540884,8,1602,368
cosine,complete,2,,0.3082412557088547,1,7118,7118
cosine,complete,3,,0.3082412557088547,1,7118,7118
cosine,complete,4,,0.3082412557088547,1,7118,7118
cosine,complete,5,,0.3082412557088547,1,7118,7118
cosine,complete,6,,0.3082412557088547,1,7118,7118
cosine,complete,7,,0.3082412557088547,1,7118,7118
cosine,complete,8,,0.3082412557088547,1,7118,7118
cosine,average,2,0.4256860177339207,0.5905507274865192,2,7076,42
cosine,average,3,0.33405650727197456,0.5905507274865192,3,7041,35
cosine,average,4,0.27791882423940995,0.5905507274865192,4,7018,23
cosine,average,5,0.22782153254096152,0.5905507274865192,5,6969,23
cosine,average,6,0.17379769416172774,0.5905507274865192,6,6844,23
cosine,average,7,0.1868410023749083,0.5905507274865192,7,5720,23
cosine,average,8,0.1539890945679381,0.5905507274865192,8,5623,23
cosine,single,2,0.4102429341478588,0.45890438490139024,2,7117,1
cosine,single,3,0.3733985881115986,0.45890438490139024,3,7115,1
cosine,single,4,0.27056594037011933,0.45890438490139024,4,7114,1
cosine,single,5,0.18700104143989113,0.45890438490139024,5,7113,1
cosine,single,6,0.14520622769421487,0.45890438490139024,6,7112,1
cosine,single,7,0.12657997184860778,0.45890438490139024,7,7111,1
cosine,single,8,0.11614707369119712,0.45890438490139024,8,7109,1
