k,custo,silhueta_media,metrica
2,1446.8168004225247,0.3968291060780837,euclidean
3,1305.0055342763744,0.2295493627738198,euclidean
4,1204.8412228867087,0.24085163858039843,euclidean
5,1138.431882925462,0.2177164425284113,euclidean
6,1083.2829503024193,0.220172158308508,euclidean
7,1042.2143090174359,0.21003526291364852,euclidean
8,998.5302387363804,0.20432779733309414,euclidean
2,2505.497924658368,0.3617762914320513,cityblock
3,2264.7345806053336,0.2269595897727106,cityblock
4,2083.5395353788826,0.23272923033075346,cityblock
5,1974.1037005679013,0.220913115648594,cityblock
6,1876.4832350291545,0.21333249811998578,cityblock
7,1809.6167095951118,0.18917656667183927,cityblock
8,1732.1278641639028,0.19968853485638985,cityblock
2,494.9418951796568,0.4769571592017783,cosine
3,395.381817233892,0.38783800341473257,cosine
4,333.333066666563,0.3833465583836418,cosine
5,294.8597527292151,0.3775554219744375,cosine
6,267.6206503221292,0.36620326103013356,cosine
7,243.38176146022118,0.353868644611675,cosine
8,223.10277570645957,0.36435259203861864,cosine
2,1081.396894175111,0.3664282887048507,chebyshev
3,970.4761457613064,0.2419757110648073,chebyshev
4,895.0886113537116,0.22498508872869716,chebyshev
5,849.2914299856092,0.2218858226999281,chebyshev
6,806.6755024872359,0.20836398323287886,chebyshev
7,770.8060209157371,0.19265633635114665,chebyshev
8,736.0335554090652,0.1822704392005471,chebyshev
