metrica,linkage,k,silhueta_media,cofenetica,n_grupos_obtidos,maior_grupo,menor_grupo
chebyshev,complete,2,,0.5934722825516242,1,7118,7118
chebyshev,complete,3,,0.5934722825516242,1,7118,7118
chebyshev,complete,4,,0.5934722825516242,1,7118,7118
chebyshev,complete,5,0.37693883036889164,0.5934722825516242,5,6425,14
chebyshev,complete,6,0.09523665409246522,0.5934722825516242,6,5226,14
chebyshev,complete,7,0.10230171948829976,0.5934722825516242,7,2794,14
chebyshev,complete,8,0.1266480642373608,0.5934722825516242,8,2794,14
chebyshev,average,2,0.6221114708629115,0.7566327025325551,2,7113,5
chebyshev,average,3,0.4808655744449781,0.7566327025325551,3,6570,5
chebyshev,average,4,0.38775667265757413,0.7566327025325551,4,6414,5
chebyshev,average,5,0.3446094591993975,0.7566327025325551,5,6338,5
chebyshev,average,6,0.3306602754715975,0.7566327025325551,6,6338,4
chebyshev,average,7,0.2712816160767307,0.7566327025325551,7,6164,4
chebyshev,average,8,0.2635051209273272,0.7566327025325551,8,6164,4
chebyshev,single,2,0.5132528048282062,0.583881249602789,2,7115,3
chebyshev,single,3,0.39636048297351173,0.583881249602789,3,7114,1
chebyshev,single,4,0.3963403973834622,0.583881249602789,4,7109,1
chebyshev,single,5,0.39084352656121685,0.583881249602789,5,7105,1
chebyshev,single,6,0.36907823666363937,0.583881249602789,6,7097,1
chebyshev,single,7,0.3682472106373455,0.583881249602789,7,7096,1
chebyshev,single,8,0.3233582082535843,0.583881249602789,8,7095,1
