cenario,conjunto,modelo,auc_media,auc_dp
completo,volume,Logística,0.9037893093787949,0.02039258059362062
completo,volume,Random Forest,0.906311417169438,0.019670207149784763
completo,volume,MLP,0.9028365140983106,0.022791240505867873
completo,forma,Logística,0.8727393521661391,0.01905998058238859
completo,forma,Random Forest,0.8978807565710843,0.02036921529716534
completo,forma,MLP,0.8701775495520474,0.028146597969639232
completo,volume+forma,Logística,0.8931976040282252,0.019263716001788944
completo,volume+forma,Random Forest,0.9056508576591739,0.01958627698276601
completo,volume+forma,MLP,0.8789718278801381,0.020523993693550516
completo,volume+forma+nota TMA1,Logística,0.9119336353944562,0.018056813132867288
completo,volume+forma+nota TMA1,Random Forest,0.9169303128017823,0.018310624451819642
completo,volume+forma+nota TMA1,MLP,0.8689254221365944,0.042339275905356764
precoce,volume,Logística,0.77188745225267,0.03909481353011538
precoce,volume,Random Forest,0.7695855110458278,0.037549888658602516
precoce,volume,MLP,0.7689062021929113,0.03618851908363937
precoce,forma,Logística,0.6718993666755906,0.04870054962582736
precoce,forma,Random Forest,0.7400068394016465,0.040357590592022125
precoce,forma,MLP,0.5930192985265855,0.0533117605797251
precoce,volume+forma,Logística,0.765548120225267,0.04238294314709785
precoce,volume+forma,Random Forest,0.764407682121105,0.03813739857143517
precoce,volume+forma,MLP,0.6406146318376089,0.06404094504909753
precoce,volume+forma+nota TMA1,Logística,0.784906002299521,0.041905063172145665
precoce,volume+forma+nota TMA1,Random Forest,0.7782145038341286,0.03873422204578912
precoce,volume+forma+nota TMA1,MLP,0.7491840973304521,0.056453644155244564
