linkage,k,silhueta_media,cofenetica,maior_grupo,menor_grupo
ward,2,0.409093440513007,0.5981911501003189,5864,1254
ward,3,0.26151864735395913,0.5981911501003189,4638,1226
ward,4,0.17854180548319745,0.5981911501003189,3345,1226
ward,5,0.14135399019574035,0.5981911501003189,2465,880
ward,6,0.14378054929238332,0.5981911501003189,2465,276
ward,7,0.1537542802121955,0.5981911501003189,2465,276
ward,8,0.1608771052015337,0.5981911501003189,2214,251
complete,2,,0.32833375670056963,7118,7118
complete,3,,0.32833375670056963,7118,7118
complete,4,0.12728805369347676,0.32833375670056963,3437,85
complete,5,0.11581634072767254,0.32833375670056963,3437,50
complete,6,0.14869390299556193,0.32833375670056963,2001,50
complete,7,0.1472723298135001,0.32833375670056963,1925,50
complete,8,0.13658661189524773,0.32833375670056963,1925,50
average,2,0.5281664052044357,0.7668533892004045,7105,13
average,3,0.43875178846456225,0.7668533892004045,6591,13
average,4,0.38344916853091837,0.7668533892004045,6537,13
average,5,0.34208987331721913,0.7668533892004045,6393,13
average,6,0.27974749713029406,0.7668533892004045,6083,13
average,7,0.23514985220082504,0.7668533892004045,6083,13
average,8,0.19954216667224123,0.7668533892004045,6083,13
single,2,0.5021334195986517,0.606014898424924,7115,3
single,3,0.5033885348010099,0.606014898424924,7110,3
single,4,0.489480656401917,0.606014898424924,7106,3
single,5,0.4246552100469511,0.606014898424924,7105,1
single,6,0.3947799441497067,0.606014898424924,7097,1
single,7,0.3914931910286745,0.606014898424924,7096,1
single,8,0.3912300262514857,0.606014898424924,7096,1
