linkage,k,silhueta_media,cofenetica,maior_grupo,menor_grupo
ward,2,0.3584069655127611,0.5342628824213239,6238,880
ward,3,0.16899207877929268,0.5342628824213239,5125,880
ward,4,0.0654432558669622,0.5342628824213239,3280,880
ward,5,0.06014506300896219,0.5342628824213239,3280,334
ward,6,0.0656756204963582,0.5342628824213239,3280,315
ward,7,0.06647740790902533,0.5342628824213239,2515,315
ward,8,0.05337485408832192,0.5342628824213239,1845,315
complete,2,,0.47393182015551494,7118,7118
complete,3,,0.47393182015551494,7118,7118
complete,4,,0.47393182015551494,7118,7118
complete,5,0.17063437660667855,0.47393182015551494,6912,4
complete,6,0.182104608115475,0.47393182015551494,5514,4
complete,7,0.158985780263842,0.47393182015551494,5414,4
complete,8,0.11286603158629326,0.47393182015551494,4348,4
average,2,0.6000608625452696,0.7621147947474038,7114,4
average,3,0.5452358265290745,0.7621147947474038,7107,4
average,4,0.44564720545737546,0.7621147947474038,7091,4
average,5,0.4187945921839503,0.7621147947474038,7079,4
average,6,0.400589987241634,0.7621147947474038,7055,4
average,7,0.38983882354774785,0.7621147947474038,7055,3
average,8,0.34783607924601834,0.7621147947474038,7003,3
single,2,0.6269546345963375,0.5915389853462513,7117,1
single,3,0.5800177771331755,0.5915389853462513,7116,1
single,4,0.5056774877683615,0.5915389853462513,7115,1
single,5,0.4993097426049138,0.5915389853462513,7114,1
single,6,0.4944199134233259,0.5915389853462513,7110,1
single,7,0.48495085350432376,0.5915389853462513,7104,1
single,8,0.4725479593566285,0.5915389853462513,7103,1
