metrica,linkage,k,silhueta_media,cofenetica,n_grupos_obtidos,maior_grupo,menor_grupo
chebyshev,complete,2,,0.6569695605365319,1,7118,7118
chebyshev,complete,3,,0.6569695605365319,1,7118,7118
chebyshev,complete,4,,0.6569695605365319,1,7118,7118
chebyshev,complete,5,,0.6569695605365319,1,7118,7118
chebyshev,complete,6,0.4121695665067687,0.6569695605365319,6,6005,4
chebyshev,complete,7,0.4113011204606903,0.6569695605365319,7,6002,3
chebyshev,complete,8,0.4065460604854281,0.6569695605365319,8,5980,3
chebyshev,average,2,0.6843369447098149,0.7993818233273718,2,7114,4
chebyshev,average,3,0.6138550827614959,0.7993818233273718,3,7105,4
chebyshev,average,4,0.5879689594962527,0.7993818233273718,4,7102,3
chebyshev,average,5,0.5415944777243236,0.7993818233273718,5,6969,3
chebyshev,average,6,0.5108644646035658,0.7993818233273718,6,6959,3
chebyshev,average,7,0.4839492745090446,0.7993818233273718,7,6944,3
chebyshev,average,8,0.4116352286464381,0.7993818233273718,8,6943,1
chebyshev,single,2,0.6774839519243503,0.5643767669904767,2,7117,1
chebyshev,single,3,0.669543633711966,0.5643767669904767,3,7116,1
chebyshev,single,4,0.6545112374614092,0.5643767669904767,4,7112,1
chebyshev,single,5,0.6545112374614092,0.5643767669904767,4,7112,1
chebyshev,single,6,0.5833601829876663,0.5643767669904767,6,7110,1
chebyshev,single,7,0.5571941029562381,0.5643767669904767,7,7109,1
chebyshev,single,8,0.4139956844468681,0.5643767669904767,8,7108,1
