metrica,linkage,k,silhueta_media,cofenetica,n_grupos_obtidos,maior_grupo,menor_grupo
cityblock,complete,2,,0.4365546224684198,1,7118,7118
cityblock,complete,3,,0.4365546224684198,1,7118,7118
cityblock,complete,4,,0.4365546224684198,1,7118,7118
cityblock,complete,5,,0.4365546224684198,1,7118,7118
cityblock,complete,6,,0.4365546224684198,1,7118,7118
cityblock,complete,7,,0.4365546224684198,1,7118,7118
cityblock,complete,8,,0.4365546224684198,1,7118,7118
cityblock,average,2,0.44387836017208565,0.733689981997906,2,7107,11
cityblock,average,3,0.3945059908655494,0.733689981997906,3,7099,8
cityblock,average,4,0.3508225348230422,0.733689981997906,4,7073,8
cityblock,average,5,0.2826531021709167,0.733689981997906,5,7016,8
cityblock,average,6,0.2567501051622501,0.733689981997906,6,6941,8
cityblock,average,7,0.22327605675062193,0.733689981997906,7,6793,8
cityblock,average,8,0.21627497034058452,0.733689981997906,8,6793,4
cityblock,single,2,0.330346769546895,0.5430682833311515,2,7117,1
cityblock,single,3,0.2863917790027953,0.5430682833311515,3,7116,1
cityblock,single,4,0.2531885330609106,0.5430682833311515,4,7115,1
cityblock,single,5,0.24541818452314482,0.5430682833311515,5,7113,1
cityblock,single,6,0.22222539157220236,0.5430682833311515,6,7111,1
cityblock,single,7,0.2136823927306357,0.5430682833311515,7,7110,1
cityblock,single,8,0.21104413140855866,0.5430682833311515,8,7109,1
