id_student,ciclo,id_assessment,total_clicks,perfil_divisivo,perfil_k3_direto
31296,1,34899,45,Tardio,Tardio
35747,1,34899,491,Tardio,Tardio
35796,1,34899,277,Adiantado,Adiantado
40857,1,34899,207,Adiantado,Adiantado
40878,1,34899,345,Equilibrado,Equilibrado
42552,1,34899,500,Adiantado,Adiantado
43958,1,34899,297,Equilibrado,Equilibrado
45423,1,34899,807,Equilibrado,Adiantado
47861,1,34899,2276,Equilibrado,Equilibrado
56637,1,34899,1140,Equilibrado,Equilibrado
56667,1,34899,54,Tardio,Tardio
58884,1,34899,667,Equilibrado,Equilibrado
63112,1,34899,126,Tardio,Tardio
64427,1,34899,415,Equilibrado,Equilibrado
66892,1,34899,81,Equilibrado,Equilibrado
69439,1,34899,229,Equilibrado,Equilibrado
71159,1,34899,459,Equilibrado,Equilibrado
74165,1,34899,461,Equilibrado,Equilibrado
75107,1,34899,938,Equilibrado,Equilibrado
77692,1,34899,600,Tardio,Tardio
77995,1,34899,103,Equilibrado,Equilibrado
79610,1,34899,304,Adiantado,Adiantado
80438,1,34899,903,Equilibrado,Equilibrado
84604,1,34899,710,Equilibrado,Equilibrado
85241,1,34899,142,Equilibrado,Equilibrado
87264,1,34899,500,Tardio,Equilibrado
87322,1,34899,88,Equilibrado,Equilibrado
91801,1,34899,795,Equilibrado,Equilibrado
94749,1,34899,584,Equilibrado,Equilibrado
98256,1,34899,164,Equilibrado,Equilibrado
101217,1,34899,62,Adiantado,Adiantado
102854,1,34899,610,Adiantado,Adiantado
105125,1,34899,388,Equilibrado,Equilibrado
105939,1,34899,265,Tardio,Tardio
107455,1,34899,252,Adiantado,Adiantado
109577,1,34899,143,Adiantado,Adiantado
110820,1,34899,471,Equilibrado,Equilibrado
113702,1,34899,973,Equilibrado,Equilibrado
116529,1,34899,11,Tardio,Tardio
119310,1,34899,232,Adiantado,Adiantado
119865,1,34899,410,Equilibrado,Equilibrado
125063,1,34899,490,Equilibrado,Equilibrado
129907,1,34899,639,Tardio,Tardio
131597,1,34899,60,Equilibrado,Equilibrado
132423,1,34899,278,Adiantado,Adiantado
132475,1,34899,590,Equilibrado,Equilibrado
135280,1,34899,863,Equilibrado,Equilibrado
136944,1,34899,6,Tardio,Equilibrado
139206,1,34899,627,Equilibrado,Equilibrado
142310,1,34899,244,Equilibrado,Adiantado
143755,1,34899,1129,Adiantado,Adiantado
144959,1,34899,66,Tardio,Adiantado
149178,1,34899,532,Adiantado,Adiantado
150282,1,34899,168,Adiantado,Adiantado
152524,1,34899,964,Equilibrado,Equilibrado
152917,1,34899,694,Equilibrado,Equilibrado
155938,1,34899,557,Equilibrado,Equilibrado
157225,1,34899,201,Tardio,Tardio
159906,1,34899,266,Equilibrado,Equilibrado
159947,1,34899,129,Tardio,Tardio
164148,1,34899,306,Tardio,Tardio
166123,1,34899,339,Equilibrado,Equilibrado
169596,1,34899,336,Equilibrado,Equilibrado
170874,1,34899,336,Equilibrado,Equilibrado
172493,1,34899,458,Tardio,Equilibrado
177492,1,34899,908,Equilibrado,Equilibrado
184627,1,34899,315,Tardio,Tardio
184720,1,34899,323,Equilibrado,Equilibrado
185994,1,34899,330,Equilibrado,Equilibrado
191504,1,34899,178,Equilibrado,Equilibrado
194163,1,34899,369,Equilibrado,Equilibrado
195246,1,34899,558,Equilibrado,Equilibrado
195552,1,34899,474,Adiantado,Adiantado
199009,1,34899,354,Equilibrado,Equilibrado
204117,1,34899,386,Equilibrado,Equilibrado
226955,1,34899,721,Equilibrado,Equilibrado
228633,1,34899,602,Equilibrado,Adiantado
229498,1,34899,682,Equilibrado,Equilibrado
230947,1,34899,101,Equilibrado,Equilibrado
232173,1,34899,1155,Equilibrado,Equilibrado
234661,1,34899,466,Equilibrado,Equilibrado
235747,1,34899,136,Tardio,Tardio
235768,1,34899,410,Tardio,Tardio
235971,1,34899,693,Equilibrado,Equilibrado
236090,1,34899,558,Equilibrado,Equilibrado
237891,1,34899,217,Equilibrado,Equilibrado
249357,1,34899,410,Tardio,Tardio
251166,1,34899,560,Adiantado,Adiantado
253633,1,34899,370,Equilibrado,Equilibrado
253763,1,34899,1234,Equilibrado,Equilibrado
258245,1,34899,377,Adiantado,Adiantado
258509,1,34899,311,Tardio,Tardio
258978,1,34899,343,Adiantado,Adiantado
261863,1,34899,228,Adiantado,Adiantado
262025,1,34899,349,Tardio,Tardio
262394,1,34899,156,Equilibrado,Equilibrado
263862,1,34899,262,Tardio,Equilibrado
265497,1,34899,400,Equilibrado,Equilibrado
268823,1,34899,48,Tardio,Tardio
269584,1,34899,140,Equilibrado,Equilibrado
270421,1,34899,124,Tardio,Equilibrado
275127,1,34899,184,Equilibrado,Equilibrado
277384,1,34899,602,Equilibrado,Equilibrado
278380,1,34899,564,Equilibrado,Equilibrado
279440,1,34899,674,Equilibrado,Equilibrado
279653,1,34899,534,Adiantado,Adiantado
279883,1,34899,136,Equilibrado,Equilibrado
281134,1,34899,420,Equilibrado,Equilibrado
282849,1,34899,614,Adiantado,Adiantado
283402,1,34899,1046,Equilibrado,Equilibrado
286778,1,34899,398,Tardio,Equilibrado
287079,1,34899,109,Adiantado,Adiantado
287258,1,34899,446,Equilibrado,Adiantado
289247,1,34899,286,Equilibrado,Equilibrado
294112,1,34899,910,Equilibrado,Equilibrado
294219,1,34899,1512,Equilibrado,Equilibrado
294920,1,34899,1025,Equilibrado,Equilibrado
294929,1,34899,800,Equilibrado,Equilibrado
297218,1,34899,321,Equilibrado,Equilibrado
297341,1,34899,720,Adiantado,Adiantado
301074,1,34899,463,Equilibrado,Equilibrado
301561,1,34899,354,Adiantado,Adiantado
305064,1,34899,1013,Equilibrado,Equilibrado
305659,1,34899,198,Adiantado,Adiantado
310205,1,34899,739,Equilibrado,Equilibrado
312126,1,34899,510,Equilibrado,Equilibrado
312231,1,34899,139,Equilibrado,Equilibrado
312960,1,34899,27,Tardio,Equilibrado
315795,1,34899,284,Adiantado,Adiantado
316082,1,34899,112,Tardio,Tardio
318139,1,34899,515,Adiantado,Adiantado
318147,1,34899,558,Equilibrado,Equilibrado
319073,1,34899,589,Equilibrado,Equilibrado
320133,1,34899,997,Equilibrado,Equilibrado
320612,1,34899,698,Equilibrado,Equilibrado
322499,1,34899,124,Equilibrado,Equilibrado
328797,1,34899,212,Tardio,Tardio
331789,1,34899,206,Tardio,Equilibrado
332237,1,34899,23,Equilibrado,Equilibrado
333993,1,34899,584,Adiantado,Adiantado
334224,1,34899,96,Adiantado,Adiantado
335095,1,34899,495,Equilibrado,Equilibrado
337000,1,34899,414,Adiantado,Adiantado
338689,1,34899,40,Equilibrado,Equilibrado
338806,1,34899,31,Tardio,Tardio
339519,1,34899,452,Adiantado,Adiantado
340831,1,34899,55,Tardio,Equilibrado
341093,1,34899,117,Adiantado,Adiantado
341457,1,34899,591,Adiantado,Adiantado
341629,1,34899,381,Adiantado,Adiantado
343709,1,34899,132,Adiantado,Adiantado
345271,1,34899,2534,Equilibrado,Equilibrado
347197,1,34899,692,Adiantado,Adiantado
348108,1,34899,207,Tardio,Equilibrado
348324,1,34899,380,Adiantado,Adiantado
349515,1,34899,385,Equilibrado,Adiantado
351147,1,34899,261,Adiantado,Adiantado
354698,1,34899,220,Tardio,Tardio
355293,1,34899,212,Tardio,Tardio
364066,1,34899,954,Equilibrado,Equilibrado
366140,1,34899,1052,Equilibrado,Equilibrado
367151,1,34899,533,Tardio,Tardio
369242,1,34899,230,Equilibrado,Equilibrado
369450,1,34899,612,Equilibrado,Equilibrado
369644,1,34899,758,Adiantado,Adiantado
370735,1,34899,352,Equilibrado,Adiantado
372345,1,34899,518,Equilibrado,Equilibrado
372509,1,34899,24,Adiantado,Adiantado
372511,1,34899,153,Tardio,Tardio
374353,1,34899,696,Equilibrado,Equilibrado
375527,1,34899,105,Tardio,Tardio
378705,1,34899,341,Equilibrado,Equilibrado
378946,1,34899,1083,Equilibrado,Equilibrado
379278,1,34899,1209,Equilibrado,Equilibrado
379311,1,34899,160,Adiantado,Adiantado
379563,1,34899,86,Tardio,Tardio
380952,1,34899,257,Equilibrado,Equilibrado
381257,1,34899,778,Equilibrado,Equilibrado
381414,1,34899,174,Equilibrado,Equilibrado
381428,1,34899,502,Equilibrado,Equilibrado
381529,1,34899,435,Adiantado,Adiantado
383445,1,34899,143,Adiantado,Adiantado
383602,1,34899,632,Adiantado,Adiantado
383629,1,34899,58,Tardio,Tardio
384107,1,34899,567,Equilibrado,Equilibrado
386121,1,34899,185,Adiantado,Adiantado
386389,1,34899,291,Equilibrado,Equilibrado
386956,1,34899,475,Adiantado,Adiantado
389853,1,34899,386,Adiantado,Adiantado
390070,1,34899,361,Tardio,Tardio
393141,1,34899,645,Adiantado,Adiantado
395758,1,34899,277,Tardio,Tardio
396683,1,34899,1038,Equilibrado,Equilibrado
396834,1,34899,70,Equilibrado,Equilibrado
396907,1,34899,424,Adiantado,Adiantado
397219,1,34899,830,Equilibrado,Equilibrado
397292,1,34899,115,Tardio,Tardio
397671,1,34899,782,Equilibrado,Equilibrado
398550,1,34899,160,Adiantado,Adiantado
398630,1,34899,123,Tardio,Tardio
399429,1,34899,732,Equilibrado,Equilibrado
