id_student,perfil_aluno,n_ciclos,consistencia,final_result
31296,Adiantado,5,0.6,Fail
35747,Insuficiente,1,1.0,Withdrawn
35796,Insuficiente,1,1.0,Fail
40857,Insuficiente,1,1.0,Withdrawn
40878,Equilibrado,5,1.0,Distinction
42552,Equilibrado,5,0.6,Pass
43958,Equilibrado,3,0.6666666666666666,Fail
45423,Adiantado,5,0.8,Fail
47861,Equilibrado,5,0.8,Pass
56637,Adiantado,5,0.6,Distinction
56667,Misto,4,0.5,Fail
58884,Equilibrado,5,0.8,Distinction
63112,Tardio,3,1.0,Withdrawn
64427,Equilibrado,5,1.0,Distinction
66892,Insuficiente,1,1.0,Withdrawn
69439,Insuficiente,2,0.5,Withdrawn
71159,Misto,5,0.4,Pass
74165,Misto,5,0.4,Pass
75107,Equilibrado,5,0.6,Distinction
77692,Tardio,5,1.0,Pass
77995,Misto,3,0.3333333333333333,Pass
79610,Adiantado,5,0.6,Pass
80438,Adiantado,4,0.75,Pass
84604,Adiantado,5,0.6,Distinction
85241,Insuficiente,1,1.0,Withdrawn
87264,Equilibrado,5,0.6,Distinction
87322,Misto,4,0.5,Pass
91801,Insuficiente,1,1.0,Withdrawn
94749,Equilibrado,3,0.6666666666666666,Fail
98256,Insuficiente,2,1.0,Withdrawn
101217,Insuficiente,1,1.0,Fail
102854,Equilibrado,5,0.6,Distinction
105125,Insuficiente,1,1.0,Withdrawn
105939,Misto,5,0.4,Pass
107455,Misto,5,0.4,Fail
108949,Insuficiente,2,0.5,Fail
109577,Misto,4,0.5,Pass
110820,Insuficiente,2,0.5,Withdrawn
113702,Insuficiente,2,1.0,Withdrawn
116529,Insuficiente,2,0.5,Fail
119310,Adiantado,5,0.8,Pass
119865,Equilibrado,5,0.6,Distinction
125063,Equilibrado,5,0.8,Fail
127179,Insuficiente,1,1.0,Withdrawn
129907,Adiantado,5,0.8,Distinction
130409,Misto,4,0.5,Pass
131597,Equilibrado,4,1.0,Pass
132423,Insuficiente,1,1.0,Withdrawn
132475,Adiantado,5,0.6,Pass
135280,Equilibrado,5,0.6,Distinction
136944,Misto,4,0.5,Pass
139206,Equilibrado,5,0.6,Distinction
142310,Equilibrado,5,0.6,Pass
143755,Adiantado,3,1.0,Pass
144959,Insuficiente,2,0.5,Withdrawn
149178,Adiantado,4,0.75,Pass
150282,Misto,5,0.4,Pass
152524,Equilibrado,5,0.8,Distinction
152917,Equilibrado,5,0.6,Distinction
155938,Adiantado,5,0.6,Pass
157225,Insuficiente,1,1.0,Withdrawn
159906,Misto,4,0.5,Pass
159947,Misto,5,0.4,Fail
164148,Equilibrado,5,0.6,Pass
166123,Equilibrado,5,0.8,Pass
169596,Equilibrado,3,0.6666666666666666,Fail
170874,Misto,5,0.4,Pass
171692,Insuficiente,2,0.5,Withdrawn
172493,Adiantado,5,0.6,Pass
