id_student,perfil_aluno,n_ciclos,consistencia,final_result
31296,Cluster 1 (com=0.70),5,0.8,Fail
35747,Insuficiente,1,1.0,Withdrawn
35796,Insuficiente,1,1.0,Fail
40857,Insuficiente,1,1.0,Withdrawn
40878,Cluster 0 (com=0.51),5,1.0,Distinction
42552,Cluster 0 (com=0.51),5,1.0,Pass
43958,Cluster 0 (com=0.51),3,1.0,Fail
45423,Cluster 0 (com=0.51),5,0.8,Fail
47861,Cluster 0 (com=0.51),5,1.0,Pass
56637,Cluster 0 (com=0.51),5,1.0,Distinction
56667,Misto,4,0.5,Fail
58884,Cluster 0 (com=0.51),5,1.0,Distinction
63112,Cluster 1 (com=0.70),3,1.0,Withdrawn
64427,Cluster 0 (com=0.51),5,1.0,Distinction
66892,Insuficiente,1,1.0,Withdrawn
69439,Insuficiente,2,0.5,Withdrawn
71159,Cluster 0 (com=0.51),5,0.8,Pass
74165,Cluster 0 (com=0.51),5,0.6,Pass
75107,Cluster 0 (com=0.51),5,1.0,Distinction
77692,Cluster 1 (com=0.70),5,0.8,Pass
77995,Cluster 1 (com=0.70),3,0.6666666666666666,Pass
79610,Cluster 0 (com=0.51),5,0.6,Pass
80438,Cluster 0 (com=0.51),4,1.0,Pass
84604,Cluster 0 (com=0.51),5,1.0,Distinction
85241,Insuficiente,1,1.0,Withdrawn
87264,Cluster 0 (com=0.51),5,0.8,Distinction
87322,Misto,4,0.5,Pass
91801,Insuficiente,1,1.0,Withdrawn
94749,Cluster 0 (com=0.51),3,1.0,Fail
98256,Insuficiente,2,0.5,Withdrawn
101217,Insuficiente,1,1.0,Fail
102854,Cluster 0 (com=0.51),5,1.0,Distinction
105125,Insuficiente,1,1.0,Withdrawn
105939,Cluster 0 (com=0.51),5,1.0,Pass
107455,Cluster 0 (com=0.51),5,0.6,Fail
108949,Insuficiente,2,0.5,Fail
109577,Misto,4,0.5,Pass
110820,Insuficiente,2,1.0,Withdrawn
113702,Insuficiente,2,1.0,Withdrawn
116529,Insuficiente,2,1.0,Fail
119310,Cluster 0 (com=0.51),5,0.8,Pass
119865,Cluster 0 (com=0.51),5,1.0,Distinction
125063,Cluster 0 (com=0.51),5,0.8,Fail
127179,Insuficiente,1,1.0,Withdrawn
129907,Cluster 0 (com=0.51),5,0.8,Distinction
130409,Misto,4,0.5,Pass
131597,Cluster 0 (com=0.51),4,1.0,Pass
132423,Insuficiente,1,1.0,Withdrawn
132475,Cluster 0 (com=0.51),5,1.0,Pass
135280,Cluster 0 (com=0.51),5,0.6,Distinction
136944,Misto,4,0.5,Pass
139206,Cluster 0 (com=0.51),5,1.0,Distinction
142310,Cluster 0 (com=0.51),5,1.0,Pass
143755,Cluster 0 (com=0.51),3,0.6666666666666666,Pass
144959,Insuficiente,2,1.0,Withdrawn
149178,Cluster 0 (com=0.51),4,1.0,Pass
150282,Cluster 0 (com=0.51),5,0.8,Pass
152524,Cluster 0 (com=0.51),5,1.0,Distinction
152917,Cluster 0 (com=0.51),5,1.0,Distinction
155938,Cluster 0 (com=0.51),5,1.0,Pass
157225,Insuficiente,1,1.0,Withdrawn
159906,Misto,4,0.5,Pass
159947,Cluster 0 (com=0.51),5,0.8,Fail
164148,Cluster 0 (com=0.51),5,0.8,Pass
166123,Cluster 0 (com=0.51),5,0.8,Pass
169596,Cluster 0 (com=0.51),3,0.6666666666666666,Fail
170874,Cluster 0 (com=0.51),5,0.8,Pass
171692,Insuficiente,2,1.0,Withdrawn
172493,Cluster 0 (com=0.51),5,1.0,Pass
173412,Insuficiente,2,1.0,Withdrawn
177492,Cluster 0 (com=0.51),5,1.0,Distinction
