cenario,ponto,limiar,recall,precisao
Curso completo (5 ciclos),"limiar 0,50",0.5,0.7522388059701492,0.7753846153846153
Curso completo (5 ciclos),melhor F1,0.5263276966089471,0.746268656716418,0.7911392405063291
Curso completo (5 ciclos),melhor F2,0.24305295399045385,0.8776119402985074,0.5526315789473685
Curso completo (5 ciclos),meta recall 70%,0.6153137938450436,0.7014925373134329,0.8362989323843416
Curso completo (5 ciclos),meta recall 80%,0.36300992063492044,0.8,0.6767676767676768
Curso completo (5 ciclos),meta recall 90%,0.20672034004642692,0.9014925373134328,0.5041736227045075
Alerta precoce (ciclos 1–2),"limiar 0,50",0.5,0.5611940298507463,0.5193370165745856
Alerta precoce (ciclos 1–2),melhor F1,0.4285655508706978,0.6597014925373135,0.4773218142548596
Alerta precoce (ciclos 1–2),melhor F2,0.319735415319974,0.8,0.38450502152080346
Alerta precoce (ciclos 1–2),meta recall 70%,0.3876332780532475,0.7074626865671642,0.4438202247191011
Alerta precoce (ciclos 1–2),meta recall 80%,0.319735415319974,0.8,0.38450502152080346
Alerta precoce (ciclos 1–2),meta recall 90%,0.19066207794864695,0.9014925373134328,0.28982725527831094
