aluno,total_cliques,media_semanal,semanas_ativas,semanas_mortas,inclinacao,centro_massa,std_forma,pico_posicao,frac_segunda_metade,cliques_pre_curso,final_result,faixa_volume
AAA_2013J_100893,717,23.9,19,11,-0.0010099552734093209,0.42172846631077765,0.03736017881457045,0.10344827586206896,0.401673640167364,27,Pass,medio
AAA_2013J_101781,3802,126.73333333333333,29,1,-0.001523933015759517,0.3818951912786374,0.03233805733160114,0.034482758620689655,0.40031562335612836,302,Pass,alto
AAA_2013J_102806,1817,60.56666666666667,30,0,-0.0010614129439975803,0.4177404968401875,0.02143697335694431,0.0,0.4556962025316456,127,Pass,alto
AAA_2013J_102952,1119,37.3,24,6,-0.0015906861063976355,0.3767218267541832,0.03773662364663584,0.0,0.3780160857908847,31,Pass,medio
AAA_2013J_1035023,1808,60.266666666666666,28,2,-0.0009479559392441948,0.4265334147085749,0.01990224984318341,0.034482758620689655,0.4579646017699115,88,Pass,alto
AAA_2013J_104476,4233,141.1,29,1,-0.00011504501287227003,0.49108401150239905,0.027588122049594807,0.6206896551724138,0.5742971887550201,544,Pass,alto
AAA_2013J_106577,584,19.466666666666665,20,10,-0.0005028418181541138,0.4610297590930562,0.05468513148787719,0.6551724137931034,0.5616438356164383,149,Pass,baixo
AAA_2013J_110175,960,32.0,25,5,-0.0011169818316648119,0.4134339080459769,0.04331546773809986,0.6896551724137931,0.4406249999999999,38,Pass,medio
AAA_2013J_1105478,1515,50.5,30,0,-0.0023766781572484284,0.3158074428132468,0.036581693381743996,0.10344827586206896,0.32343234323432346,180,Pass,medio
AAA_2013J_111717,2091,69.7,27,3,-0.0014483386344038146,0.38775375583370436,0.026068880754738705,0.13793103448275862,0.34433285509325684,252,Pass,alto
AAA_2013J_113295,3550,118.33333333333333,30,0,-0.0016366228516818372,0.37316172899465755,0.022952398159625177,0.0,0.3580281690140845,3,Pass,alto
AAA_2013J_11391,836,27.866666666666667,23,7,-0.002080993767663166,0.3387229830061046,0.04451811078347471,0.0,0.2679425837320574,98,Pass,medio
AAA_2013J_114017,729,24.3,16,14,-0.0025191837905552735,0.3047632562319663,0.06421955898282916,0.034482758620689655,0.3305898491083676,28,Pass,medio
AAA_2013J_114999,1216,40.53333333333333,30,0,-0.00106331596510743,0.41759301270417426,0.027018053385062128,0.8275862068965517,0.43585526315789475,142,Pass,medio
AAA_2013J_116541,1886,62.86666666666667,26,4,-0.0010823856364500677,0.4161151131751197,0.02840982253224474,0.034482758620689655,0.426829268292683,0,Pass,alto
AAA_2013J_116692,783,26.1,24,6,-0.002219863989646506,0.32796054080239573,0.028535512427872785,0.034482758620689655,0.28607918263090676,325,Pass,medio
AAA_2013J_118983,276,9.2,16,14,-0.001544389095774694,0.3803098450774613,0.05370310013735918,0.41379310344827586,0.2934782608695652,8,Pass,baixo
AAA_2013J_123044,2038,67.93333333333334,26,4,-0.0022956485288964626,0.3220872390105242,0.02949126964246414,0.0,0.2595682041216879,3,Pass,alto
AAA_2013J_127582,1289,42.96666666666667,25,5,-0.0014941176775160063,0.38420587999250955,0.03112571989017635,0.5517241379310345,0.39410395655546937,32,Pass,medio
