aluno,vol_w00,vol_w01,vol_w02,vol_w03,vol_w04,vol_w05,vol_w06,vol_w07,vol_w08,vol_w09,vol_w10,vol_w11,vol_w12,vol_w13,vol_w14,vol_w15,vol_w16,vol_w17,vol_w18,vol_w19,vol_w20,vol_w21,vol_w22,vol_w23,vol_w24,vol_w25,vol_w26,vol_w27,vol_w28,vol_w29
AAA_2013J_100893,40,50,11,78,77,59,0,0,46,0,0,10,58,0,0,1,4,0,18,38,15,0,8,30,53,72,0,49,0,0
AAA_2013J_101781,223,700,162,118,167,180,43,48,106,97,87,108,55,122,64,43,90,158,92,213,277,58,112,73,124,126,87,59,0,10
AAA_2013J_102806,199,104,94,66,107,98,57,28,31,11,31,89,34,31,9,55,53,69,50,65,68,65,92,78,58,38,77,57,1,2
AAA_2013J_102952,159,119,60,75,20,23,0,3,0,0,11,106,79,33,8,0,48,48,65,31,15,2,3,93,88,6,20,4,0,0
AAA_2013J_1035023,65,152,85,81,65,59,39,59,47,39,71,56,49,62,51,54,57,151,69,103,131,28,45,59,29,16,25,61,0,0
AAA_2013J_104476,436,119,119,100,190,15,35,40,12,121,182,25,63,193,152,263,86,288,454,87,74,163,137,143,237,326,134,33,6,0
AAA_2013J_106577,55,92,22,1,0,69,2,2,0,0,5,4,0,0,4,0,0,0,0,130,10,5,75,24,9,20,33,19,3,0
AAA_2013J_110175,50,105,9,60,102,13,38,31,0,22,0,3,5,20,79,13,6,9,20,102,173,0,7,5,61,6,20,1,0,0
AAA_2013J_1105478,186,139,23,210,158,74,41,13,48,3,21,14,29,26,40,75,89,71,50,13,12,3,6,11,7,56,83,10,3,1
AAA_2013J_111717,188,141,46,80,196,18,88,77,79,35,80,159,89,73,22,34,82,70,22,0,50,34,178,52,54,18,104,22,0,0
AAA_2013J_113295,361,213,351,174,157,164,189,82,78,118,98,51,34,107,102,43,94,87,38,136,95,108,135,72,138,156,118,33,13,5
AAA_2013J_11391,183,71,49,26,60,41,1,16,9,33,5,36,0,27,55,0,0,3,0,0,29,6,0,43,35,15,7,85,1,0
AAA_2013J_114017,103,212,0,0,5,125,6,0,0,5,0,0,27,0,5,0,0,44,63,15,0,0,0,51,0,8,51,7,2,0
AAA_2013J_114999,53,49,99,78,39,119,42,52,10,46,10,20,17,10,42,72,43,19,13,48,30,30,27,14,129,76,23,4,1,1
AAA_2013J_116541,102,186,156,82,53,32,0,25,156,0,67,59,39,93,31,1,29,44,51,139,125,110,50,145,62,13,26,10,0,0
AAA_2013J_116692,35,102,56,24,48,30,42,61,18,0,26,36,34,30,17,31,24,7,37,48,16,16,0,7,9,29,0,0,0,0
AAA_2013J_118983,0,30,21,12,17,18,21,0,0,0,0,0,62,14,0,1,0,0,47,0,0,0,0,5,1,1,7,16,0,3
AAA_2013J_123044,262,138,178,122,125,113,114,39,9,0,71,110,49,47,132,22,44,21,53,100,30,0,34,43,79,49,46,8,0,0
