janela,conjunto,modelo,AUC,F1
PARCIAL (70%),V (volume),"media(32,16)",0.759,0.655
PARCIAL (70%),V (volume),GBoost,0.753,0.644
PARCIAL (70%),F (forma),"media(32,16)",0.853,0.787
PARCIAL (70%),F (forma),GBoost,0.852,0.787
PARCIAL (70%),V+F,"media(32,16)",0.855,0.785
PARCIAL (70%),V+F,GBoost,0.856,0.789
FULL,V (volume),"media(32,16)",0.793,0.697
FULL,V (volume),GBoost,0.788,0.695
FULL,F (forma),"media(32,16)",0.889,0.845
FULL,F (forma),GBoost,0.888,0.843
FULL,V+F,"media(32,16)",0.894,0.845
FULL,V+F,GBoost,0.892,0.843
