janela,conjunto,modelo,AUC,F1
FULL,V (volume),"media(32,16)",0.793,0.697
FULL,V (volume),GBoost,0.788,0.695
FULL,F (5 features),"media(32,16)",0.846,0.774
FULL,F (5 features),GBoost,0.867,0.813
FULL,V+F,"media(32,16)",0.861,0.784
FULL,V+F,GBoost,0.88,0.821
PARCIAL(70%),V (volume),"media(32,16)",0.759,0.655
PARCIAL(70%),V (volume),GBoost,0.753,0.644
PARCIAL(70%),F (5 features),"media(32,16)",0.824,0.759
PARCIAL(70%),F (5 features),GBoost,0.826,0.769
PARCIAL(70%),V+F,"media(32,16)",0.838,0.762
PARCIAL(70%),V+F,GBoost,0.841,0.772
