,c0,c1,c2,c3,c4,c5,final_result,faixa_volume,ativo_no_fim,aprovado,perfil
AAA_2013J_100893,0.30909806172756127,0.2736959246002266,0.1099972485486094,0.021938483774680925,0.08088138814653298,0.14180932399387847,Pass,medio,True,True,antecipado
AAA_2013J_101781,0.4875120130133401,0.12139173251037609,0.07416481936690505,0.08671221607966563,0.1122361661781022,0.08549864395119933,Pass,alto,True,True,antecipado
AAA_2013J_102806,0.3995324401097632,0.17066423230169617,0.08667616015725307,0.08596201807582919,0.12502242266289068,0.10471307514736805,Pass,alto,True,True,antecipado
AAA_2013J_102952,0.4975233196001613,0.1069440348380988,0.10474436881375453,0.10160409736209326,0.08916468862508788,0.07262406055901978,Pass,medio,True,True,antecipado
AAA_2013J_1035023,0.3348740048723133,0.1439005464483643,0.1196174557834532,0.14974056741922298,0.16693522054516124,0.10060721597152904,Pass,alto,True,True,equilibrado
AAA_2013J_104476,0.4024014981577192,0.08514078075819985,0.06380583055418157,0.13039689749846062,0.15758733113115014,0.12783249918163347,Pass,alto,True,True,antecipado
AAA_2013J_106577,0.5719462135386064,0.0863855755536003,0.015430848944833528,0.003984359384573133,0.14500830377380558,0.11980526113631416,Pass,baixo,True,True,antecipado
AAA_2013J_110175,0.3536776360304074,0.16252235324389647,0.06833132763689151,0.09398111399919351,0.185657459063714,0.12705671067247515,Pass,medio,True,True,antecipado
AAA_2013J_1105478,0.4803830287632942,0.2003053660893369,0.0652079695383197,0.11280330125958168,0.052357529146766835,0.041169931931777655,Pass,medio,True,True,antecipado
AAA_2013J_111717,0.43287186859213667,0.14979874297443446,0.15916966753896963,0.09189030593056693,0.10046052543241593,0.07206411743558369,Pass,alto,True,True,antecipado
AAA_2013J_113295,0.36320650128138354,0.19831761856860944,0.1116725613765405,0.09143627625659806,0.11386991027224767,0.10101372651346227,Pass,alto,True,True,antecipado
AAA_2013J_11391,0.6008792246302144,0.09971906988650142,0.05401975193711016,0.052613261176509836,0.05045518644995153,0.06897562870294474,Pass,medio,True,True,antecipado
AAA_2013J_114017,0.6104608309896064,0.11653818608425358,0.029014226859914477,0.07071849471610837,0.05902942209618019,0.047875004003873095,Pass,medio,True,True,antecipado
AAA_2013J_114999,0.36446166818418596,0.20233170486026933,0.0956642777994493,0.10020946810613444,0.08976621765069369,0.10309930459174467,Pass,medio,True,True,antecipado
AAA_2013J_116541,0.33394548564099164,0.14949184926084846,0.11456483789527208,0.10377203424107265,0.1959087985945637,0.1227155038984447,Pass,alto,True,True,equilibrado
AAA_2013J_116692,0.6025100526730655,0.11588872122394558,0.09848918212701707,0.0668333713882368,0.05381470519829152,0.032328772829417374,Pass,medio,True,True,antecipado
AAA_2013J_118983,0.38069908892901555,0.22767505713795433,0.1612901183243666,0.1302229264024616,0.046700933217098714,0.04403346960547371,Pass,baixo,True,True,equilibrado
AAA_2013J_123044,0.40187839750394583,0.21640608295235747,0.10719771955136023,0.10633971692735204,0.09011764859922479,0.06241075315425723,Pass,alto,True,True,antecipado
AAA_2013J_127582,0.26736125586983467,0.25071116012904693,0.14104967164861273,0.15488360522018846,0.13610544559306922,0.0740259741188446,Pass,medio,True,True,equilibrado
AAA_2013J_132976,0.4607477980174202,0.04207696001498396,0.09417418131100062,0.1366475380407349,0.17203988768184733,0.09899592716371602,Pass,baixo,True,True,antecipado
AAA_2013J_134143,0.3703138350001555,0.13220278968510252,0.11452525682089756,0.1022593992837181,0.17734005829644972,0.11515337081856088,Distinction,alto,True,True,antecipado
AAA_2013J_137873,0.2719066215575335,0.2147295558826216,0.1291089741393244,0.15560819528483355,0.12952089666159788,0.0984519571283096,Pass,alto,True,True,equilibrado
