aluno,c0,c1,c2,c3,c4,c5,final_result,faixa_volume,ativo_no_fim,aprovado,perfil
AAA_2013J_100893,0.3803763440860215,0.14112903225806453,0.0913978494623656,0.08198924731182795,0.1424731182795699,0.16263440860215053,Pass,medio,True,True,antecipado
AAA_2013J_101781,0.4074074074074074,0.1154970760233918,0.10623781676413255,0.145224171539961,0.15692007797270954,0.06871345029239766,Pass,alto,True,True,antecipado
AAA_2013J_102806,0.3585390946502058,0.11574074074074074,0.09979423868312758,0.15020576131687244,0.18569958847736626,0.09002057613168725,Pass,alto,True,True,antecipado
AAA_2013J_102952,0.40347826086956523,0.022608695652173914,0.20608695652173914,0.16695652173913045,0.17478260869565218,0.02608695652173913,Pass,medio,True,True,equilibrado
AAA_2013J_1035023,0.28270042194092826,0.1281645569620253,0.15242616033755274,0.2289029535864979,0.1540084388185654,0.05379746835443038,Pass,alto,True,True,equilibrado
AAA_2013J_104476,0.3156792966296839,0.04668201800293071,0.12874188821436047,0.24659828344149048,0.15783964831484196,0.10445886539669248,Pass,alto,True,True,equilibrado
AAA_2013J_106577,0.43519781718963163,0.09959072305593451,0.017735334242837655,0.17735334242837653,0.16780354706684858,0.10231923601637108,Pass,baixo,True,True,antecipado
AAA_2013J_110175,0.36472945891783565,0.10420841683366733,0.10721442885771543,0.15030060120240482,0.24649298597194388,0.027054108216432865,Pass,medio,True,True,equilibrado
AAA_2013J_1105478,0.5286135693215339,0.1056047197640118,0.07669616519174041,0.17581120943952802,0.023008849557522124,0.09026548672566372,Pass,medio,True,True,antecipado
AAA_2013J_111717,0.3854033290653009,0.1267605633802817,0.18053777208706787,0.08877507469056765,0.157063593683312,0.06145966709346991,Pass,alto,True,True,antecipado
AAA_2013J_113295,0.3543484379397692,0.1775963974106389,0.11032929918378835,0.11201801294680552,0.15423585702223472,0.0914719954967633,Pass,alto,True,True,antecipado
AAA_2013J_11391,0.5214132762312634,0.10706638115631692,0.1316916488222698,0.0032119914346895075,0.12098501070663811,0.11563169164882227,Pass,medio,True,True,antecipado
AAA_2013J_114017,0.45970937912813736,0.17965653896961692,0.04227212681638045,0.16116248348745046,0.06737120211360634,0.08982826948480846,Pass,medio,True,True,antecipado
AAA_2013J_114999,0.3387334315169367,0.19808541973490426,0.07290132547864507,0.14359351988217967,0.16936671575846834,0.07731958762886598,Pass,medio,True,True,antecipado
AAA_2013J_116541,0.30699893955461294,0.1129374337221633,0.15323435843054084,0.13997879109225875,0.2608695652173913,0.025980911983032873,Pass,alto,True,True,equilibrado
AAA_2013J_116692,0.5324909747292419,0.13628158844765342,0.12906137184115524,0.13267148014440433,0.04332129963898917,0.026173285198555957,Pass,medio,True,True,antecipado
AAA_2013J_118983,0.30985915492957744,0.13732394366197184,0.2676056338028169,0.16901408450704225,0.02112676056338028,0.09507042253521127,Pass,baixo,True,True,antecipado
AAA_2013J_123044,0.40568348848603625,0.1347378735913768,0.20039196472317491,0.11758941695247428,0.09113179813816756,0.05046545810877021,Pass,alto,True,True,antecipado
AAA_2013J_127582,0.33383800151400456,0.09235427706283118,0.18925056775170326,0.24678274034822104,0.12944738834216502,0.008327024981074944,Pass,medio,True,True,equilibrado
AAA_2013J_132976,0.3019230769230769,0.0,0.18846153846153846,0.20576923076923076,0.24615384615384617,0.057692307692307696,Pass,baixo,True,True,equilibrado
AAA_2013J_134143,0.30856515373352855,0.1486090775988287,0.12005856515373353,0.16251830161054173,0.21888726207906295,0.04136163982430454,Distinction,alto,True,True,equilibrado
AAA_2013J_137873,0.270260492040521,0.18180173661360347,0.16552098408104196,0.1316931982633864,0.1671490593342981,0.08357452966714905,Pass,alto,True,True,antecipado
AAA_2013J_1401935,0.7708333333333334,0.15,0.07916666666666666,0.0,0.0,0.0,Fail,baixo,False,False,desistente
AAA_2013J_1402638,0.5307692307692308,0.05714285714285714,0.13846153846153847,0.08131868131868132,0.15714285714285714,0.035164835164835165,Pass,medio,True,True,antecipado
AAA_2013J_141355,0.3230938014262205,0.12287438288535381,0.17882611080636313,0.13823368074602305,0.14975315414152496,0.08721886999451453,Pass,alto,True,True,antecipado
AAA_2013J_1414443,0.44782380702674357,0.1751442055584688,0.15102254850550603,0.09334032511798637,0.13266911379129523,0.0,Fail,alto,True,False,antecipado
AAA_2013J_142326,0.24045261669024046,0.12918434700612919,0.16407355021216408,0.19000471475719,0.10042432814710042,0.17586044318717586,Pass,alto,True,True,equilibrado
AAA_2013J_144801,0.2554472984942427,0.12471213463241806,0.12772364924712135,0.13339238263950398,0.1695305580159433,0.1891939769707706,Pass,alto,True,True,equilibrado
AAA_2013J_145130,0.5309734513274337,0.07743362831858407,0.033185840707964605,0.14601769911504425,0.15486725663716813,0.05752212389380531,Pass,baixo,True,True,antecipado
AAA_2013J_146188,0.23450586264656617,0.21273031825795644,0.31825795644891125,0.04522613065326633,0.08207705192629816,0.10720268006700168,Fail,baixo,True,False,antecipado
AAA_2013J_1465690,0.3101156069364162,0.10549132947976879,0.15433526011560694,0.11560693641618497,0.2315028901734104,0.08294797687861272,Pass,alto,True,True,equilibrado
AAA_2013J_1472925,0.2854100106496273,0.09158679446219382,0.1810436634717785,0.2364217252396166,0.1395101171458999,0.06602768903088392,Fail,medio,True,False,equilibrado
AAA_2013J_147756,0.6595744680851063,0.06873977086743044,0.11129296235679215,0.11292962356792144,0.04746317512274959,0.0,Fail,baixo,True,False,antecipado
AAA_2013J_1488959,0.36444317205840254,0.0996278270827369,0.07930146006298311,0.23246492985971945,0.14572001145147437,0.07844259948468366,Pass,alto,True,True,antecipado
AAA_2013J_151358,0.13703703703703704,0.011111111111111112,0.0962962962962963,0.34444444444444444,0.32592592592592595,0.08518518518518518,Pass,baixo,True,True,equilibrado
