aluno,total_cliques,faixa_volume,final_result
AAA_2013J_100893,744.0,medio,Pass
AAA_2013J_101781,4104.0,alto,Pass
AAA_2013J_102806,1944.0,alto,Pass
AAA_2013J_102952,1150.0,medio,Pass
AAA_2013J_1035023,1896.0,alto,Pass
AAA_2013J_104476,4777.0,alto,Pass
AAA_2013J_106247,465.0,medio,Withdrawn
AAA_2013J_106577,733.0,medio,Pass
AAA_2013J_110175,998.0,medio,Pass
AAA_2013J_1105478,1695.0,alto,Pass
AAA_2013J_111717,2343.0,alto,Pass
AAA_2013J_113295,3553.0,alto,Pass
AAA_2013J_11391,934.0,medio,Pass
AAA_2013J_114017,757.0,medio,Pass
AAA_2013J_114999,1358.0,alto,Pass
AAA_2013J_116541,1886.0,alto,Pass
AAA_2013J_116692,1108.0,medio,Pass
AAA_2013J_118983,284.0,baixo,Pass
AAA_2013J_123044,2041.0,alto,Pass
AAA_2013J_127582,1321.0,alto,Pass
AAA_2013J_129955,1011.0,medio,Withdrawn
AAA_2013J_132976,520.0,medio,Pass
AAA_2013J_134143,2732.0,alto,Distinction
AAA_2013J_1352868,641.0,medio,Withdrawn
AAA_2013J_135335,57.0,baixo,Withdrawn
AAA_2013J_135400,287.0,baixo,Withdrawn
AAA_2013J_137873,5528.0,alto,Pass
AAA_2013J_1401935,240.0,baixo,Fail
AAA_2013J_1402638,910.0,medio,Pass
AAA_2013J_141355,1823.0,alto,Pass
AAA_2013J_141377,143.0,baixo,Withdrawn
AAA_2013J_1414443,1907.0,alto,Fail
AAA_2013J_142326,2121.0,alto,Pass
AAA_2013J_144801,5645.0,alto,Pass
AAA_2013J_145130,452.0,medio,Pass
AAA_2013J_1456619,467.0,medio,Withdrawn
AAA_2013J_146188,597.0,medio,Fail
AAA_2013J_1465690,3460.0,alto,Pass
AAA_2013J_1472925,939.0,medio,Fail
AAA_2013J_147756,611.0,medio,Fail
AAA_2013J_147793,155.0,baixo,Withdrawn
AAA_2013J_1488959,3493.0,alto,Pass
AAA_2013J_148993,1864.0,alto,Withdrawn
AAA_2013J_151358,270.0,baixo,Pass
AAA_2013J_1518989,4202.0,alto,Pass
AAA_2013J_155550,1529.0,alto,Pass
AAA_2013J_155854,4003.0,alto,Pass
AAA_2013J_155984,908.0,medio,Withdrawn
AAA_2013J_157568,1405.0,alto,Pass
AAA_2013J_159954,1185.0,medio,Withdrawn
AAA_2013J_1618738,723.0,medio,Pass
AAA_2013J_1620151,998.0,medio,Fail
AAA_2013J_1626710,6025.0,alto,Distinction
AAA_2013J_1640609,5061.0,alto,Pass
AAA_2013J_164259,466.0,medio,Pass
AAA_2013J_167906,1510.0,alto,Pass
AAA_2013J_1686521,643.0,medio,Withdrawn
AAA_2013J_168936,745.0,medio,Pass
AAA_2013J_172112,1939.0,alto,Pass
AAA_2013J_172797,1782.0,alto,Pass
AAA_2013J_1729319,2756.0,alto,Pass
AAA_2013J_1746134,1759.0,alto,Pass
AAA_2013J_174782,6318.0,alto,Pass
AAA_2013J_175392,4447.0,alto,Pass
AAA_2013J_1758449,2756.0,alto,Withdrawn
AAA_2013J_175932,2016.0,alto,Pass
AAA_2013J_175991,138.0,baixo,Fail
AAA_2013J_1763015,420.0,medio,Withdrawn
AAA_2013J_1765788,7057.0,alto,Pass
AAA_2013J_1801229,1443.0,alto,Pass
AAA_2013J_1801641,459.0,medio,Pass
AAA_2013J_180753,2012.0,alto,Pass
AAA_2013J_181316,487.0,medio,Withdrawn
AAA_2013J_183096,1975.0,alto,Pass
AAA_2013J_183947,964.0,medio,Pass
AAA_2013J_184271,1312.0,medio,Pass
AAA_2013J_1847830,6518.0,alto,Pass
AAA_2013J_185439,427.0,medio,Fail
AAA_2013J_1860318,5975.0,alto,Pass
AAA_2013J_186149,2136.0,alto,Pass
AAA_2013J_187100,8562.0,alto,Distinction
AAA_2013J_188278,1434.0,alto,Withdrawn
AAA_2013J_1889511,1754.0,alto,Pass
AAA_2013J_1889577,931.0,medio,Pass
AAA_2013J_1894188,4294.0,alto,Pass
AAA_2013J_189879,1541.0,alto,Pass
AAA_2013J_192183,3219.0,alto,Pass
AAA_2013J_1938355,1992.0,alto,Pass
AAA_2013J_1942396,470.0,medio,Pass
AAA_2013J_195262,1905.0,alto,Withdrawn
AAA_2013J_1970390,11139.0,alto,Withdrawn
AAA_2013J_1976139,1216.0,medio,Pass
AAA_2013J_200860,534.0,medio,Pass
AAA_2013J_2011876,1401.0,alto,Pass
AAA_2013J_2012966,519.0,medio,Pass
AAA_2013J_202635,1418.0,alto,Withdrawn
AAA_2013J_2051699,1734.0,alto,Pass
AAA_2013J_205350,1665.0,alto,Pass
AAA_2013J_205719,333.0,baixo,Fail
AAA_2013J_2062879,2386.0,alto,Fail
AAA_2013J_2065691,1430.0,alto,Withdrawn
AAA_2013J_2073016,849.0,medio,Withdrawn
AAA_2013J_2080474,1146.0,medio,Pass
AAA_2013J_2083877,685.0,medio,Pass
AAA_2013J_2084066,1967.0,alto,Fail
AAA_2013J_2104505,701.0,medio,Pass
AAA_2013J_2122180,4712.0,alto,Distinction
AAA_2013J_2139353,1262.0,medio,Withdrawn
AAA_2013J_2143752,1888.0,alto,Pass
AAA_2013J_2146792,2385.0,alto,Pass
AAA_2013J_2149225,319.0,baixo,Withdrawn
AAA_2013J_2153153,3385.0,alto,Pass
AAA_2013J_2155014,1454.0,alto,Pass
AAA_2013J_2164705,231.0,baixo,Fail
AAA_2013J_2171627,1346.0,alto,Pass
AAA_2013J_2182846,4214.0,alto,Pass
AAA_2013J_2194100,1401.0,alto,Pass
AAA_2013J_2197016,1455.0,alto,Pass
AAA_2013J_2208424,1080.0,medio,Pass
AAA_2013J_2229865,3236.0,alto,Pass
AAA_2013J_2255601,2543.0,alto,Withdrawn
AAA_2013J_2268379,1685.0,alto,Pass
AAA_2013J_227499,2953.0,alto,Distinction
AAA_2013J_227517,1205.0,medio,Fail
AAA_2013J_2278464,307.0,baixo,Pass
AAA_2013J_228082,227.0,baixo,Pass
AAA_2013J_228222,445.0,medio,Pass
AAA_2013J_229179,614.0,medio,Pass
AAA_2013J_229361,1215.0,medio,Pass
AAA_2013J_2293923,303.0,baixo,Pass
AAA_2013J_2312620,1129.0,medio,Withdrawn
AAA_2013J_231554,1839.0,alto,Pass
AAA_2013J_2318055,,,Withdrawn
AAA_2013J_2324976,,,Withdrawn
AAA_2013J_2329342,565.0,medio,Pass
AAA_2013J_2339528,593.0,medio,Distinction
AAA_2013J_2342426,1814.0,alto,Fail
AAA_2013J_2344901,445.0,medio,Fail
AAA_2013J_235507,190.0,baixo,Withdrawn
AAA_2013J_2358056,1588.0,alto,Fail
AAA_2013J_2358969,373.0,baixo,Withdrawn
AAA_2013J_236284,732.0,medio,Pass
AAA_2013J_2364471,7182.0,alto,Pass
AAA_2013J_2365101,,,Withdrawn
AAA_2013J_2367155,2148.0,alto,Pass
AAA_2013J_2369266,2146.0,alto,Pass
AAA_2013J_2376496,749.0,medio,Pass
AAA_2013J_238007,1935.0,alto,Pass
AAA_2013J_2391984,818.0,medio,Withdrawn
AAA_2013J_240712,321.0,baixo,Pass
AAA_2013J_240884,427.0,medio,Pass
AAA_2013J_2411661,574.0,medio,Fail
AAA_2013J_2411778,1497.0,alto,Withdrawn
AAA_2013J_2412002,3344.0,alto,Distinction
AAA_2013J_2412967,2458.0,alto,Pass
AAA_2013J_241649,1892.0,alto,Pass
AAA_2013J_241729,1829.0,alto,Fail
AAA_2013J_242793,658.0,medio,Pass
AAA_2013J_2429854,655.0,medio,Withdrawn
AAA_2013J_2437837,2684.0,alto,Pass
AAA_2013J_2449878,622.0,medio,Pass
AAA_2013J_2456480,183.0,baixo,Fail
AAA_2013J_2457256,1611.0,alto,Pass
AAA_2013J_2458355,4187.0,alto,Pass
AAA_2013J_2460080,3424.0,alto,Pass
AAA_2013J_2461190,967.0,medio,Fail
AAA_2013J_246834,1174.0,medio,Pass
AAA_2013J_2469673,523.0,medio,Fail
AAA_2013J_2470694,2176.0,alto,Withdrawn
AAA_2013J_2479954,323.0,baixo,Pass
