aluno,b0,b1,b2,b3,b4,b5,b6,n_provas_com_clique,final_result,faixa_volume,aprovado,cluster,padrao
AAA_2013J_100893,0.18732153055396916,0.11040819061161873,0.2192044852172169,0.08901379662749107,0.09591208228141997,0.2925324380727702,0.005607476635514018,5,Pass,medio,True,2,decrescente
AAA_2013J_101781,0.16220247086859466,0.10614668859472773,0.1782561463299809,0.207540034991499,0.14753165706756638,0.11578811944525688,0.08253488270237441,5,Pass,alto,True,2,decrescente
AAA_2013J_102806,0.14913446718604767,0.11949419547952551,0.19841774085393254,0.14101060448210173,0.1751043456470609,0.1202584088305246,0.096580237520807,5,Pass,alto,True,2,decrescente
AAA_2013J_102952,0.25865827203540276,0.17662239085288092,0.23035986284790924,0.053460276424381024,0.1252035447637905,0.1548106973234232,0.0008849557522123894,5,Pass,medio,True,1,constante
AAA_2013J_1035023,0.19515675873163796,0.11772918335720269,0.24904982226238265,0.09433376503424813,0.09274438038930792,0.14119956541454126,0.10978652481067941,5,Pass,alto,True,1,constante
AAA_2013J_104476,0.04238240158940725,0.17441584829872597,0.08875053299559955,0.12959726589299472,0.23720249294563991,0.117875406387278,0.2097760518903546,5,Pass,alto,True,2,decrescente
AAA_2013J_106577,0.2839182216567713,0.11058100084817642,0.06018518518518518,0.08257350862312694,0.19907407407407407,0.0072890161153519924,0.25637899349731413,4,Pass,baixo,True,2,decrescente
AAA_2013J_110175,0.3080848861283644,0.0,0.24145341614906832,0.16723809523809524,0.12844099378881985,0.08635403726708075,0.06842857142857142,5,Pass,medio,True,2,decrescente
AAA_2013J_1105478,0.11141817388458371,0.20020674876813788,0.15742803748224715,0.04869501724165498,0.2205323734190045,0.13083306590253282,0.13088658330183892,5,Pass,medio,True,2,decrescente
AAA_2013J_111717,0.12181051121973863,0.07586529972135972,0.25492744972384435,0.07412428698436224,0.26311520391245696,0.1730224265559223,0.03713482188231583,5,Pass,alto,True,2,decrescente
AAA_2013J_113295,0.13635858700117082,0.1750677050700255,0.11679612294435057,0.16330085447362727,0.16487755055313447,0.11972354418804347,0.12387563576964791,5,Pass,alto,True,2,decrescente
