aluno,total,p_comeco,p_meio,p_fim,semanas_mortas,cliques_ultimo_terco,ativo_no_fim,final_result,faixa_volume,timing,subtipo
AAA_2013J_100893,717,0.5034867503486751,0.1799163179916318,0.31659693165969316,11,227,True,Pass,medio,comeco-pesado,antecipou_sustentou
AAA_2013J_101781,3802,0.4850078905839032,0.271436086270384,0.24355602314571279,1,926,True,Pass,alto,comeco-pesado,antecipou_sustentou
AAA_2013J_102806,1817,0.43753439735828287,0.267473858007705,0.2949917446340121,0,536,True,Pass,alto,comeco-pesado,antecipou_sustentou
AAA_2013J_102952,1119,0.4101876675603217,0.38337801608579086,0.2064343163538874,6,231,True,Pass,medio,comeco-pesado,antecipou_sustentou
AAA_2013J_1035023,1808,0.3821902654867257,0.39988938053097345,0.2179203539823009,2,394,True,Pass,alto,comeco-pesado,antecipou_sustentou
AAA_2013J_110175,960,0.4479166666666667,0.2677083333333333,0.284375,5,273,True,Pass,medio,comeco-pesado,antecipou_sustentou
AAA_2013J_1105478,1515,0.5907590759075908,0.2825082508250825,0.12673267326732673,0,192,True,Pass,medio,comeco-pesado,antecipou_sustentou
AAA_2013J_111717,2091,0.4533715925394548,0.3017694882831181,0.24485891917742708,3,512,True,Pass,alto,comeco-pesado,antecipou_sustentou
AAA_2013J_113295,3550,0.5315492957746479,0.22253521126760564,0.24591549295774648,0,873,True,Pass,alto,comeco-pesado,antecipou_sustentou
AAA_2013J_11391,836,0.5849282296650717,0.1507177033492823,0.26435406698564595,7,221,True,Pass,medio,comeco-pesado,antecipou_sustentou
AAA_2013J_114017,729,0.6255144032921811,0.2112482853223594,0.16323731138545952,14,119,True,Pass,medio,comeco-pesado,antecipou_sustentou
AAA_2013J_114999,1216,0.48273026315789475,0.24177631578947367,0.2754934210526316,0,335,True,Pass,medio,comeco-pesado,antecipou_sustentou
AAA_2013J_116541,1886,0.41993637327677624,0.2932131495227996,0.28685047720042417,4,541,True,Pass,alto,comeco-pesado,antecipou_sustentou
AAA_2013J_116692,783,0.5312899106002554,0.37037037037037035,0.0983397190293742,6,77,True,Pass,medio,comeco-pesado,antecipou_sustentou
AAA_2013J_118983,276,0.4311594202898551,0.4492753623188406,0.11956521739130435,14,33,True,Pass,baixo,comeco-pesado,antecipou_sustentou
AAA_2013J_123044,2038,0.5397448478900884,0.3184494602551521,0.14180569185475958,4,289,True,Pass,alto,comeco-pesado,antecipou_sustentou
AAA_2013J_127582,1289,0.41194724592707527,0.44685802948021724,0.14119472459270752,5,182,True,Pass,medio,comeco-pesado,antecipou_sustentou
AAA_2013J_134143,2558,0.4202501954652072,0.3017982799061767,0.2779515246286161,1,711,True,Distinction,alto,comeco-pesado,antecipou_sustentou
AAA_2013J_137873,5287,0.4270853035748061,0.3107622470209949,0.26215244940419896,2,1386,True,Pass,alto,comeco-pesado,antecipou_sustentou
AAA_2013J_1401935,183,0.8961748633879781,0.10382513661202186,0.0,19,0,False,Fail,baixo,comeco-pesado,abandonou_cedo
AAA_2013J_1402638,808,0.5358910891089109,0.24752475247524752,0.21658415841584158,4,175,True,Pass,medio,comeco-pesado,antecipou_sustentou
AAA_2013J_141355,1775,0.4309859154929577,0.3256338028169014,0.24338028169014084,3,432,True,Pass,alto,comeco-pesado,antecipou_sustentou
