aluno,cluster,final_result,faixa_volume,semanas_mortas,centro_massa
AAA_2013J_100893,0,Pass,medio,11,0.4217284663107776
AAA_2013J_101781,0,Pass,alto,1,0.3818951912786374
AAA_2013J_102806,0,Pass,alto,0,0.4177404968401875
AAA_2013J_102952,0,Pass,medio,6,0.3767218267541832
AAA_2013J_1035023,0,Pass,alto,2,0.4265334147085749
AAA_2013J_104476,0,Pass,alto,1,0.491084011502399
AAA_2013J_106577,0,Pass,baixo,10,0.4610297590930562
AAA_2013J_110175,0,Pass,medio,5,0.4134339080459769
AAA_2013J_1105478,0,Pass,medio,0,0.3158074428132468
AAA_2013J_111717,0,Pass,alto,3,0.3877537558337043
AAA_2013J_113295,0,Pass,alto,0,0.3731617289946575
AAA_2013J_11391,0,Pass,medio,7,0.3387229830061046
AAA_2013J_114017,1,Pass,medio,14,0.3047632562319663
AAA_2013J_114999,0,Pass,medio,0,0.4175930127041742
AAA_2013J_116541,0,Pass,alto,4,0.4161151131751197
AAA_2013J_116692,0,Pass,medio,6,0.3279605408023957
AAA_2013J_118983,0,Pass,baixo,14,0.3803098450774613
AAA_2013J_123044,0,Pass,alto,4,0.3220872390105242
AAA_2013J_127582,0,Pass,medio,5,0.3842058799925095
AAA_2013J_132976,0,Pass,baixo,13,0.4913793103448275
AAA_2013J_134143,0,Distinction,alto,1,0.4171766735865844
AAA_2013J_137873,0,Pass,alto,2,0.4205761692635809
AAA_2013J_1401935,1,Fail,baixo,19,0.0983606557377049
AAA_2013J_1402638,0,Pass,medio,4,0.3282690337999316
AAA_2013J_141355,0,Pass,alto,3,0.4030888780961632
AAA_2013J_1414443,0,Fail,alto,9,0.2947868876720438
AAA_2013J_142326,0,Pass,alto,2,0.4946594413758255
AAA_2013J_144801,0,Pass,alto,0,0.4906098863136737
AAA_2013J_145130,0,Pass,baixo,11,0.3498250874562719
AAA_2013J_146188,0,Fail,baixo,16,0.4042110571770788
AAA_2013J_1465690,0,Pass,alto,1,0.4527353809434081
AAA_2013J_1472925,0,Fail,medio,10,0.4329624325217583
AAA_2013J_147756,1,Fail,baixo,7,0.2103976747258554
AAA_2013J_1488959,0,Pass,alto,2,0.4132233973130587
AAA_2013J_151358,0,Pass,baixo,18,0.5790549169859516
AAA_2013J_1518989,0,Pass,alto,2,0.3829755039593806
AAA_2013J_155550,0,Pass,medio,7,0.4801411968110651
AAA_2013J_155854,0,Pass,alto,0,0.4654475135039651
AAA_2013J_157568,0,Pass,medio,5,0.4077502635706754
AAA_2013J_1618738,1,Pass,medio,17,0.2422378022606953
AAA_2013J_1620151,1,Fail,medio,13,0.1499707773232028
AAA_2013J_1626710,0,Distinction,alto,0,0.3978172661682779
AAA_2013J_1640609,0,Pass,alto,0,0.4042879019908116
AAA_2013J_164259,0,Pass,baixo,6,0.5058470764617691
AAA_2013J_167906,0,Pass,medio,2,0.4298298449028762
AAA_2013J_168936,0,Pass,medio,5,0.420273084934043
AAA_2013J_172112,0,Pass,alto,2,0.5818463783981025
AAA_2013J_172797,0,Pass,medio,4,0.6244396027988435
AAA_2013J_1729319,0,Pass,alto,2,0.4969228510019091
AAA_2013J_1746134,0,Pass,alto,9,0.3620689655172414
AAA_2013J_174782,0,Pass,alto,0,0.440866105408834
AAA_2013J_175392,0,Pass,alto,0,0.3786138993113894
AAA_2013J_175932,0,Pass,alto,2,0.2991160308991
AAA_2013J_175991,1,Fail,baixo,20,0.226419878296146
AAA_2013J_1765788,0,Pass,alto,0,0.4282973773601904
AAA_2013J_1801229,0,Pass,medio,7,0.4060411654637798
AAA_2013J_1801641,1,Pass,baixo,11,0.2686854542272011
AAA_2013J_180753,0,Pass,alto,0,0.4072016124639102
AAA_2013J_183096,0,Pass,alto,3,0.4120880223064733
AAA_2013J_183947,0,Pass,medio,6,0.4938204878751847
AAA_2013J_184271,0,Pass,medio,3,0.3387206726126228
AAA_2013J_1847830,0,Pass,alto,0,0.515296558206875
AAA_2013J_185439,1,Fail,baixo,25,0.0835296637395588
AAA_2013J_1860318,0,Pass,alto,0,0.5029549758174429
AAA_2013J_186149,0,Pass,alto,3,0.3814974551846778
AAA_2013J_187100,0,Distinction,alto,0,0.4114612140869126
AAA_2013J_1889511,0,Pass,alto,5,0.4240336855875559
AAA_2013J_1889577,0,Pass,medio,3,0.3637986831826805
AAA_2013J_1894188,0,Pass,alto,3,0.4795188612590256
AAA_2013J_189879,0,Pass,medio,6,0.408527704958437
AAA_2013J_192183,0,Pass,alto,2,0.4611661931977677
AAA_2013J_1938355,0,Pass,alto,0,0.4076834862385322
AAA_2013J_1942396,0,Pass,baixo,9,0.3293150172881039
AAA_2013J_1976139,0,Pass,medio,8,0.5682964487905301
AAA_2013J_200860,0,Pass,baixo,3,0.3322564786853009
AAA_2013J_2011876,0,Pass,medio,3,0.4977720390905868
AAA_2013J_2012966,1,Pass,baixo,8,0.1954736917255657
AAA_2013J_2051699,0,Pass,alto,5,0.3094454551029168
AAA_2013J_205350,0,Pass,medio,1,0.3562487823884668
AAA_2013J_205719,1,Fail,baixo,12,0.1663793103448275
AAA_2013J_2062879,0,Fail,alto,2,0.4107171025649114
AAA_2013J_2080474,0,Pass,medio,4,0.4193003316853368
AAA_2013J_2083877,1,Pass,baixo,6,0.2732453334883992
AAA_2013J_2084066,1,Fail,alto,7,0.2380471002283874
AAA_2013J_2104505,1,Pass,medio,8,0.2378325123152709
AAA_2013J_2122180,0,Distinction,alto,1,0.4620065894696436
AAA_2013J_2143752,0,Pass,alto,7,0.3989924629983989
AAA_2013J_2146792,0,Pass,alto,0,0.4583262682471906
AAA_2013J_2153153,0,Pass,alto,2,0.4030357051902409
AAA_2013J_2155014,0,Pass,medio,6,0.3629495392940095
AAA_2013J_2164705,1,Fail,baixo,25,0.0566134843026248
AAA_2013J_2171627,0,Pass,medio,1,0.3920661620409307
AAA_2013J_2182846,0,Pass,alto,0,0.4348299777673455
AAA_2013J_2194100,0,Pass,medio,5,0.3450532915360502
AAA_2013J_2197016,0,Pass,medio,6,0.3707033171211542
AAA_2013J_2208424,0,Pass,medio,4,0.3138184318124253
AAA_2013J_2229865,0,Pass,alto,3,0.457110832728951
AAA_2013J_2268379,0,Pass,medio,2,0.3999787798408488
AAA_2013J_227499,0,Distinction,alto,3,0.357547833707328
AAA_2013J_227517,1,Fail,medio,6,0.2356159948194916
AAA_2013J_2278464,1,Pass,baixo,12,0.2943349753694581
AAA_2013J_228082,0,Pass,baixo,10,0.4051330499133994
AAA_2013J_228222,0,Pass,baixo,9,0.3922510654784967
AAA_2013J_229179,0,Pass,baixo,4,0.3416870799572891
AAA_2013J_229361,0,Pass,medio,1,0.4625225329999418
AAA_2013J_2293923,0,Pass,baixo,18,0.3939327804452204
AAA_2013J_231554,0,Pass,medio,7,0.3630153896798617
AAA_2013J_2329342,0,Pass,baixo,13,0.3411046689044857
AAA_2013J_2339528,1,Distinction,baixo,15,0.3133788435731373
AAA_2013J_2342426,0,Fail,alto,3,0.3933632498819083
AAA_2013J_2344901,0,Fail,baixo,14,0.3457393899204244
AAA_2013J_2358056,0,Fail,medio,2,0.509198681686261
AAA_2013J_236284,0,Pass,medio,9,0.592048238175994
AAA_2013J_2364471,0,Pass,alto,0,0.3802116165062958
AAA_2013J_2367155,0,Pass,alto,1,0.4586206896551724
AAA_2013J_2369266,0,Pass,alto,4,0.3529846132710537
AAA_2013J_2376496,0,Pass,medio,6,0.2858635617256306
AAA_2013J_238007,0,Pass,alto,2,0.4532767343141245
AAA_2013J_240712,0,Pass,baixo,17,0.4493918089498939
AAA_2013J_240884,0,Pass,baixo,8,0.3486409736308317
AAA_2013J_2411661,1,Fail,baixo,21,0.2491189275101928
AAA_2013J_2412002,0,Distinction,alto,0,0.3250740144712111
AAA_2013J_2412967,0,Pass,alto,0,0.4410361384126794
AAA_2013J_241649,0,Pass,medio,0,0.3696362541921059
AAA_2013J_241729,0,Fail,alto,2,0.5160516349071007
AAA_2013J_242793,0,Pass,baixo,5,0.4421304199385455
AAA_2013J_2437837,0,Pass,alto,2,0.4737715344412798
AAA_2013J_2449878,0,Pass,baixo,12,0.4678273608293892
AAA_2013J_2456480,1,Fail,baixo,18,0.2566054635020152
AAA_2013J_2457256,0,Pass,medio,4,0.3005152076648438
AAA_2013J_2458355,0,Pass,alto,0,0.5301881040758872
AAA_2013J_2460080,0,Pass,alto,0,0.4329513847872077
AAA_2013J_2461190,1,Fail,medio,16,0.1512885662431941
AAA_2013J_246834,0,Pass,medio,7,0.4361646860185726
AAA_2013J_2469673,0,Fail,baixo,12,0.3984520765669269
AAA_2013J_2479954,0,Pass,baixo,9,0.442726912405866
AAA_2013J_2481901,1,Pass,medio,3,0.2567049808429119
AAA_2013J_248270,0,Pass,alto,0,0.3614868933402914
AAA_2013J_2482700,0,Pass,medio,6,0.2914990735300763
AAA_2013J_2486127,0,Pass,medio,4,0.4048586440894297
AAA_2013J_2498700,0,Pass,alto,2,0.5939790447144473
AAA_2013J_2516503,0,Pass,alto,0,0.5166203850164622
AAA_2013J_2518069,0,Pass,medio,3,0.3824654836760724
AAA_2013J_2521459,0,Pass,medio,4,0.5255625708272624
AAA_2013J_2523736,0,Pass,baixo,8,0.3403263403263403
AAA_2013J_2529279,0,Pass,medio,5,0.2947526236881559
AAA_2013J_2532302,0,Pass,medio,4,0.6108500264348234
AAA_2013J_2536991,0,Distinction,medio,3,0.421745457006531
AAA_2013J_2550279,0,Pass,alto,2,0.3732924340694334
AAA_2013J_2551220,0,Pass,medio,2,0.5446230756121114
AAA_2013J_2555340,0,Pass,alto,0,0.3823922362564854
AAA_2013J_255548,0,Pass,alto,0,0.3121768696921237
AAA_2013J_2557283,0,Pass,alto,0,0.4172833440804086
AAA_2013J_2559575,0,Pass,baixo,10,0.3321746384872079
AAA_2013J_2562034,0,Pass,baixo,20,0.4135033323674298
AAA_2013J_2566163,0,Pass,medio,2,0.4680272705351075
AAA_2013J_2566592,0,Pass,medio,3,0.4906435671053362
AAA_2013J_256815,0,Pass,medio,1,0.5568355202929509
AAA_2013J_2574528,0,Pass,medio,4,0.4093918230758038
AAA_2013J_2574583,0,Pass,alto,3,0.3482679982699642
AAA_2013J_2578995,0,Pass,medio,0,0.4001590152831356
AAA_2013J_258392,0,Pass,medio,9,0.4373179110318737
AAA_2013J_2586560,0,Pass,alto,0,0.3513454329988535
AAA_2013J_258894,0,Pass,alto,2,0.4382547384054157
AAA_2013J_2594139,0,Pass,medio,7,0.3622241069027574
AAA_2013J_2598871,0,Pass,alto,1,0.4772845550394171
AAA_2013J_2599352,0,Pass,medio,8,0.4641250803169843
AAA_2013J_2600688,0,Pass,baixo,13,0.3611333867949746
AAA_2013J_2606098,0,Pass,baixo,10,0.557786175405448
AAA_2013J_2613116,0,Pass,medio,4,0.3756448547379853
AAA_2013J_2617002,0,Pass,medio,6,0.5510393739300563
AAA_2013J_262011,0,Pass,medio,7,0.3553856045480693
AAA_2013J_2620584,1,Fail,baixo,27,0.0366837857666911
AAA_2013J_262934,0,Pass,alto,2,0.3390804597701149
AAA_2013J_2639449,0,Pass,medio,11,0.4587168567110867
AAA_2013J_2639540,0,Pass,alto,2,0.4431936171375485
AAA_2013J_2639641,0,Pass,alto,0,0.4415803550593262
AAA_2013J_2641155,0,Pass,alto,1,0.3324910016597974
AAA_2013J_2643002,0,Pass,alto,1,0.4834560612450125
AAA_2013J_2645733,0,Pass,medio,2,0.4701188654819347
AAA_2013J_2649826,0,Distinction,alto,0,0.508522886044822
AAA_2013J_2650282,0,Pass,medio,6,0.3535161553081727
AAA_2013J_2664024,0,Pass,medio,4,0.4356148993172585
AAA_2013J_2666246,0,Pass,baixo,9,0.49987728555651
AAA_2013J_2669816,0,Fail,baixo,18,0.3803358543776439
AAA_2013J_2671132,0,Pass,alto,3,0.459248543536451
AAA_2013J_2676809,1,Fail,baixo,18,0.1864301662118581
AAA_2013J_2678643,0,Pass,alto,3,0.4393364928909952
AAA_2013J_268073,0,Fail,alto,2,0.4075393582829438
AAA_2013J_2685865,0,Pass,alto,1,0.5017138291840626
AAA_2013J_2688067,0,Pass,baixo,21,0.5673469387755102
AAA_2013J_2689958,0,Distinction,alto,0,0.4306431563924313
AAA_2013J_2691206,0,Distinction,alto,2,0.4557424042932617
AAA_2013J_2691244,0,Pass,baixo,1,0.420735428745804
