aluno,cluster,final_result,faixa_volume,semanas_mortas,centro_massa
AAA_2013J_100893,1,Pass,medio,11,0.4217284663107776
AAA_2013J_101781,1,Pass,alto,1,0.3818951912786374
AAA_2013J_102806,1,Pass,alto,0,0.4177404968401875
AAA_2013J_102952,1,Pass,medio,6,0.3767218267541832
AAA_2013J_1035023,1,Pass,alto,2,0.4265334147085749
AAA_2013J_104476,2,Pass,alto,1,0.491084011502399
AAA_2013J_106577,2,Pass,baixo,10,0.4610297590930562
AAA_2013J_110175,1,Pass,medio,5,0.4134339080459769
AAA_2013J_1105478,1,Pass,medio,0,0.3158074428132468
AAA_2013J_111717,1,Pass,alto,3,0.3877537558337043
AAA_2013J_113295,1,Pass,alto,0,0.3731617289946575
AAA_2013J_11391,1,Pass,medio,7,0.3387229830061046
AAA_2013J_114017,1,Pass,medio,14,0.3047632562319663
AAA_2013J_114999,1,Pass,medio,0,0.4175930127041742
AAA_2013J_116541,1,Pass,alto,4,0.4161151131751197
AAA_2013J_116692,1,Pass,medio,6,0.3279605408023957
AAA_2013J_118983,1,Pass,baixo,14,0.3803098450774613
AAA_2013J_123044,1,Pass,alto,4,0.3220872390105242
AAA_2013J_127582,1,Pass,medio,5,0.3842058799925095
AAA_2013J_132976,2,Pass,baixo,13,0.4913793103448275
AAA_2013J_134143,1,Distinction,alto,1,0.4171766735865844
AAA_2013J_137873,1,Pass,alto,2,0.4205761692635809
AAA_2013J_1401935,3,Fail,baixo,19,0.0983606557377049
AAA_2013J_1402638,1,Pass,medio,4,0.3282690337999316
AAA_2013J_141355,1,Pass,alto,3,0.4030888780961632
AAA_2013J_1414443,1,Fail,alto,9,0.2947868876720438
AAA_2013J_142326,2,Pass,alto,2,0.4946594413758255
AAA_2013J_144801,2,Pass,alto,0,0.4906098863136737
AAA_2013J_145130,1,Pass,baixo,11,0.3498250874562719
AAA_2013J_146188,1,Fail,baixo,16,0.4042110571770788
AAA_2013J_1465690,1,Pass,alto,1,0.4527353809434081
AAA_2013J_1472925,1,Fail,medio,10,0.4329624325217583
AAA_2013J_147756,3,Fail,baixo,7,0.2103976747258554
AAA_2013J_1488959,1,Pass,alto,2,0.4132233973130587
AAA_2013J_151358,2,Pass,baixo,18,0.5790549169859516
AAA_2013J_1518989,1,Pass,alto,2,0.3829755039593806
AAA_2013J_155550,2,Pass,medio,7,0.4801411968110651
AAA_2013J_155854,2,Pass,alto,0,0.4654475135039651
AAA_2013J_157568,1,Pass,medio,5,0.4077502635706754
AAA_2013J_1618738,3,Pass,medio,17,0.2422378022606953
AAA_2013J_1620151,3,Fail,medio,13,0.1499707773232028
AAA_2013J_1626710,1,Distinction,alto,0,0.3978172661682779
AAA_2013J_1640609,1,Pass,alto,0,0.4042879019908116
AAA_2013J_164259,2,Pass,baixo,6,0.5058470764617691
AAA_2013J_167906,1,Pass,medio,2,0.4298298449028762
AAA_2013J_168936,1,Pass,medio,5,0.420273084934043
AAA_2013J_172112,2,Pass,alto,2,0.5818463783981025
AAA_2013J_172797,2,Pass,medio,4,0.6244396027988435
AAA_2013J_1729319,2,Pass,alto,2,0.4969228510019091
AAA_2013J_1746134,1,Pass,alto,9,0.3620689655172414
AAA_2013J_174782,1,Pass,alto,0,0.440866105408834
AAA_2013J_175392,1,Pass,alto,0,0.3786138993113894
AAA_2013J_175932,1,Pass,alto,2,0.2991160308991
AAA_2013J_175991,3,Fail,baixo,20,0.226419878296146
AAA_2013J_1765788,1,Pass,alto,0,0.4282973773601904
AAA_2013J_1801229,1,Pass,medio,7,0.4060411654637798
AAA_2013J_1801641,1,Pass,baixo,11,0.2686854542272011
AAA_2013J_180753,1,Pass,alto,0,0.4072016124639102
AAA_2013J_183096,1,Pass,alto,3,0.4120880223064733
AAA_2013J_183947,0,Pass,medio,6,0.4938204878751847
AAA_2013J_184271,1,Pass,medio,3,0.3387206726126228
AAA_2013J_1847830,2,Pass,alto,0,0.515296558206875
AAA_2013J_185439,3,Fail,baixo,25,0.0835296637395588
AAA_2013J_1860318,1,Pass,alto,0,0.5029549758174429
AAA_2013J_186149,1,Pass,alto,3,0.3814974551846778
AAA_2013J_187100,1,Distinction,alto,0,0.4114612140869126
AAA_2013J_1889511,1,Pass,alto,5,0.4240336855875559
AAA_2013J_1889577,1,Pass,medio,3,0.3637986831826805
AAA_2013J_1894188,1,Pass,alto,3,0.4795188612590256
AAA_2013J_189879,1,Pass,medio,6,0.408527704958437
AAA_2013J_192183,1,Pass,alto,2,0.4611661931977677
AAA_2013J_1938355,1,Pass,alto,0,0.4076834862385322
AAA_2013J_1942396,1,Pass,baixo,9,0.3293150172881039
AAA_2013J_1976139,2,Pass,medio,8,0.5682964487905301
AAA_2013J_200860,1,Pass,baixo,3,0.3322564786853009
AAA_2013J_2011876,2,Pass,medio,3,0.4977720390905868
AAA_2013J_2012966,3,Pass,baixo,8,0.1954736917255657
AAA_2013J_2051699,1,Pass,alto,5,0.3094454551029168
AAA_2013J_205350,1,Pass,medio,1,0.3562487823884668
AAA_2013J_205719,3,Fail,baixo,12,0.1663793103448275
AAA_2013J_2062879,1,Fail,alto,2,0.4107171025649114
AAA_2013J_2080474,1,Pass,medio,4,0.4193003316853368
AAA_2013J_2083877,1,Pass,baixo,6,0.2732453334883992
AAA_2013J_2084066,3,Fail,alto,7,0.2380471002283874
AAA_2013J_2104505,3,Pass,medio,8,0.2378325123152709
AAA_2013J_2122180,1,Distinction,alto,1,0.4620065894696436
AAA_2013J_2143752,1,Pass,alto,7,0.3989924629983989
AAA_2013J_2146792,1,Pass,alto,0,0.4583262682471906
AAA_2013J_2153153,1,Pass,alto,2,0.4030357051902409
AAA_2013J_2155014,1,Pass,medio,6,0.3629495392940095
AAA_2013J_2164705,3,Fail,baixo,25,0.0566134843026248
AAA_2013J_2171627,1,Pass,medio,1,0.3920661620409307
AAA_2013J_2182846,1,Pass,alto,0,0.4348299777673455
AAA_2013J_2194100,1,Pass,medio,5,0.3450532915360502
AAA_2013J_2197016,1,Pass,medio,6,0.3707033171211542
AAA_2013J_2208424,1,Pass,medio,4,0.3138184318124253
AAA_2013J_2229865,2,Pass,alto,3,0.457110832728951
AAA_2013J_2268379,1,Pass,medio,2,0.3999787798408488
AAA_2013J_227499,1,Distinction,alto,3,0.357547833707328
AAA_2013J_227517,1,Fail,medio,6,0.2356159948194916
AAA_2013J_2278464,1,Pass,baixo,12,0.2943349753694581
AAA_2013J_228082,1,Pass,baixo,10,0.4051330499133994
AAA_2013J_228222,1,Pass,baixo,9,0.3922510654784967
AAA_2013J_229179,1,Pass,baixo,4,0.3416870799572891
AAA_2013J_229361,1,Pass,medio,1,0.4625225329999418
AAA_2013J_2293923,1,Pass,baixo,18,0.3939327804452204
AAA_2013J_231554,1,Pass,medio,7,0.3630153896798617
AAA_2013J_2329342,1,Pass,baixo,13,0.3411046689044857
AAA_2013J_2339528,1,Distinction,baixo,15,0.3133788435731373
AAA_2013J_2342426,1,Fail,alto,3,0.3933632498819083
AAA_2013J_2344901,1,Fail,baixo,14,0.3457393899204244
AAA_2013J_2358056,2,Fail,medio,2,0.509198681686261
AAA_2013J_236284,2,Pass,medio,9,0.592048238175994
AAA_2013J_2364471,1,Pass,alto,0,0.3802116165062958
AAA_2013J_2367155,1,Pass,alto,1,0.4586206896551724
AAA_2013J_2369266,1,Pass,alto,4,0.3529846132710537
AAA_2013J_2376496,1,Pass,medio,6,0.2858635617256306
AAA_2013J_238007,1,Pass,alto,2,0.4532767343141245
AAA_2013J_240712,1,Pass,baixo,17,0.4493918089498939
AAA_2013J_240884,1,Pass,baixo,8,0.3486409736308317
AAA_2013J_2411661,3,Fail,baixo,21,0.2491189275101928
AAA_2013J_2412002,1,Distinction,alto,0,0.3250740144712111
AAA_2013J_2412967,1,Pass,alto,0,0.4410361384126794
