,tendencia,antecedencia,durabilidade,concentracao,cobertura_final,intensidade_media,final_result,faixa_volume,cluster
BBB_2013B_562465,-0.008866442199775532,0.6358024691358025,0.5454545454545454,0.09253986186845316,0.0,14.727272727272727,Pass,medio,0
BBB_2014J_656222,-0.20000000000000007,0.16666666666666666,0.2,0.4000000000000001,0.0,1.4,Fail,baixo,2
DDD_2014J_577196,0.0,0.0,0.0,0.0,0.0,0.0,Pass,baixo,0
BBB_2014J_564278,0.009722222222222193,0.4444444444444444,1.0,0.1082343644163145,0.2824074074074074,43.2,Pass,alto,1
CCC_2014J_496355,-0.06707317073170734,0.24932249322493225,0.375,0.2665915984712157,0.0,15.375,Pass,baixo,2
CCC_2014J_620484,0.011067577523273723,0.4547585560243788,0.75,0.12279141032811312,0.23628691983122363,88.875,Fail,alto,1
BBB_2014J_572395,0.015384615384615375,0.45920745920745926,1.0,0.08126343522424587,0.15384615384615385,28.6,Pass,medio,1
FFF_2013J_360747,-0.019946979090947965,0.32814526588845655,0.46153846153846156,0.11913766621323352,0.0,39.53846153846154,Pass,alto,0
GGG_2014J_632266,-0.035353535353535345,0.6203703703703703,0.3,0.15723301886761007,0.0,3.6,Pass,medio,0
DDD_2014B_628386,-0.026184538653366597,0.31463009143807147,1.0,0.08380488160649066,0.012468827930174564,57.285714285714285,Pass,medio,0
DDD_2014J_2595730,0.04851390220517737,0.3769574944071588,0.8333333333333334,0.13216630385593964,0.28859060402684567,24.833333333333332,Pass,medio,1
BBB_2014B_2690136,0.0,0.0,0.0,0.0,0.0,0.0,Fail,baixo,0
FFF_2013J_561386,-0.023769708552317248,0.2898550724637681,0.46153846153846156,0.11454968028386112,0.0,38.92307692307692,Distinction,alto,0
BBB_2013B_561458,-0.01044155844155845,0.44,0.6363636363636364,0.08325313507559741,0.0,15.909090909090908,Pass,baixo,0
CCC_2014J_584771,0.016971241140982835,0.21873718737187373,1.0,0.05783653829463025,0.17220172201722017,101.625,Pass,medio,1
EEE_2013J_586047,-0.022292191435768303,0.4126784214945424,1.0,0.14861759805730237,0.11838790931989925,158.8,Pass,alto,1
EEE_2014B_550357,-0.0001869158878505004,0.5165109034267913,1.0,0.09657602246930996,0.11214953271028037,107.0,Pass,medio,1
CCC_2014B_547287,0.006542699724517905,0.42234848484848486,1.0,0.06391614999280174,0.1621900826446281,121.0,Distinction,alto,1
FFF_2014J_562990,-0.019005384859043396,0.28824833702882485,0.38461538461538464,0.11412032035342048,0.0,34.69230769230769,Pass,alto,0
FFF_2013J_243396,-0.029230769230769223,0.425,0.23076923076923078,0.16391295135315503,0.0,7.6923076923076925,Fail,medio,2
CCC_2014J_599109,-0.0050836550836550936,0.5735735735735735,1.0,0.04998934632055481,0.13153153153153152,69.375,Pass,alto,1
DDD_2014J_685458,-0.06622369878183831,0.5297157622739018,1.0,0.12537626402023908,0.05426356589147287,21.5,Pass,medio,0
FFF_2013J_591765,-0.019018315018315017,0.5088888888888888,0.46153846153846156,0.110414838803258,0.0,86.53846153846153,Pass,alto,0
DDD_2013B_527323,-0.0005244755244755283,0.45170454545454547,0.5714285714285714,0.10469520713656794,0.0,12.571428571428571,Fail,medio,0
FFF_2013B_359156,-0.01953601953601954,0.439311241065627,0.46153846153846156,0.0913485106201399,0.0,197.30769230769232,Distinction,alto,0
FFF_2013J_595840,-0.024598673216184735,0.4422043010752688,0.46153846153846156,0.10693029293621757,0.0,133.53846153846155,Distinction,alto,0
BBB_2013B_84664,-0.007413945278022952,0.3932038834951456,0.45454545454545453,0.10717838407670875,0.0,9.363636363636363,Pass,baixo,0
BBB_2014J_365097,0.11950000000000002,0.6408333333333334,0.8,0.21949943052317925,0.315,40.0,Distinction,medio,1
BBB_2014J_483508,0.12148760330578512,0.5743801652892562,0.8,0.21202172902395522,0.6033057851239669,24.2,Distinction,medio,1
FFF_2013J_597415,-0.0296343001261034,0.6311475409836066,0.15384615384615385,0.18517888903687893,0.0,9.384615384615385,Fail,baixo,2
CCC_2014J_695518,-0.01800894854586132,0.22908277404921698,0.875,0.11284040432748633,0.16375838926174496,93.125,Pass,medio,1
DDD_2014J_574347,-0.07718550106609806,0.38308457711442784,0.6666666666666666,0.17919083048210946,0.0,11.166666666666666,Pass,baixo,2
FFF_2014B_468730,-0.03261591603560518,0.5071963154864709,0.23076923076923078,0.25127889179281127,0.0,44.53846153846154,Fail,medio,2
FFF_2014B_622976,-0.022137371830623365,0.5004647704034207,0.46153846153846156,0.09754709070754732,0.0,137.92307692307693,Pass,alto,0
EEE_2013J_586137,0.058463949843260206,0.4749216300940439,1.0,0.21452086578076193,0.0987460815047022,127.6,Pass,medio,1
CCC_2014B_560494,-0.01117275389120051,0.279126213592233,1.0,0.0961243704081202,0.13915857605177995,77.25,Pass,medio,1
DDD_2014J_295118,0.010196078431372569,0.48986928104575167,1.0,0.12817791684722699,0.08431372549019608,85.0,Pass,alto,1
BBB_2014B_632470,-0.04171122994652406,0.2549019607843137,0.18181818181818182,0.19648313444784848,0.0,1.5454545454545454,Fail,baixo,2
FFF_2014B_526821,-0.01638528336978873,0.31207787048073105,0.46153846153846156,0.10880735037440002,0.0,129.07692307692307,Pass,alto,0
CCC_2014B_610577,-0.08189033189033192,0.21212121212121213,0.25,0.30845057706872786,0.0,16.5,Fail,baixo,2
FFF_2014B_628174,-0.014620308408495779,0.4984725050916497,0.46153846153846156,0.12957322547719471,0.0,75.53846153846153,Pass,alto,0
BBB_2013J_549226,-0.0028743315508021347,0.24754901960784315,0.6363636363636364,0.08650672737345871,0.0,12.363636363636363,Fail,baixo,0
DDD_2014J_681211,0.04109589041095889,0.1917808219178082,1.0,0.08459820691163883,0.22602739726027396,24.333333333333332,Pass,baixo,1
GGG_2013J_610749,-0.02823691460055094,0.5397727272727273,0.4,0.1668404741112087,0.0,8.8,Pass,medio,0
FFF_2013B_552648,-0.018077738725512,0.5112460638776428,0.46153846153846156,0.0938449963162262,0.0,57.0,Fail,alto,0
FFF_2013B_537683,-0.02787592154680763,0.43797468354430374,0.3076923076923077,0.15667133449646026,0.0,30.384615384615383,Fail,medio,0
BBB_2013J_389471,-0.00813210227272727,0.1328125,0.6363636363636364,0.07962151396159953,0.0,23.272727272727273,Fail,baixo,0
FFF_2014J_640098,-0.0188648560741584,0.5426356589147286,0.46153846153846156,0.10853446956466387,0.0,36.38461538461539,Pass,alto,0
BBB_2014J_2436711,0.03404255319148933,0.5035460992907802,1.0,0.13658182470333963,0.4276595744680851,94.0,Pass,alto,1
FFF_2013J_589014,-0.0182283541904993,0.5029793200140203,0.46153846153846156,0.09720412356875799,0.0,73.15384615384616,Pass,alto,0
BBB_2013B_553125,-0.02533097969991173,0.4471413160733549,0.6363636363636364,0.10747999802163168,0.0,28.09090909090909,Distinction,medio,0
FFF_2014B_617534,-0.016876634181126688,0.5923460898502496,0.38461538461538464,0.10448067836749397,0.0,46.23076923076923,Pass,alto,0
BBB_2013B_2654302,-0.036363636363636376,0.16666666666666666,0.09090909090909091,0.2874797872880344,0.0,1.8181818181818181,Pass,baixo,2
FFF_2013B_334224,-0.016954474097331237,0.3037037037037037,0.46153846153846156,0.12587248098225082,0.0,72.6923076923077,Fail,alto,0
CCC_2014J_626625,-0.07268398268398271,0.19272727272727272,0.625,0.2509350283036469,0.0036363636363636364,34.375,Fail,medio,2
GGG_2013J_579015,-0.03071391884951206,0.5847457627118644,0.2,0.2943936552405747,0.0,5.9,Pass,baixo,2
BBB_2014J_582253,0.08675324675324676,0.5515151515151515,1.0,0.13670334926691707,0.34545454545454546,77.0,Pass,medio,1
DDD_2014J_649041,-0.02621015348288074,0.38705234159779617,1.0,0.06391243943867868,0.1322314049586777,20.166666666666668,Fail,baixo,1
BBB_2013B_555880,-0.04545454545454544,0.1984126984126984,0.09090909090909091,0.2874797872880344,0.0,1.9090909090909092,Fail,baixo,2
GGG_2014J_141827,-0.03272727272727271,0.5666666666666667,0.3,0.161245154965971,0.0,0.5,Pass,baixo,0
DDD_2014J_648959,-0.05306122448979591,0.22893772893772893,0.6666666666666666,0.17040842639460216,0.0,15.166666666666666,Fail,baixo,0
FFF_2014J_681938,-0.01502346157202601,0.3464671146406027,0.46153846153846156,0.12410034132778984,0.0,125.92307692307692,Distinction,alto,0
GGG_2013J_574504,0.0,0.0,0.0,0.0,0.0,0.0,Fail,baixo,0
EEE_2013J_2326597,-0.0013698630136986568,0.22450532724505326,0.8,0.17005439211683435,0.2785388127853881,43.8,Pass,medio,1
EEE_2013J_486545,0.016064257028112452,0.30488621151271755,1.0,0.13013287659743422,0.08634538152610442,99.6,Pass,medio,1
FFF_2014J_633867,-0.021342663850807173,0.28745928338762217,0.46153846153846156,0.0942314669274386,0.0,47.23076923076923,Pass,alto,0
CCC_2014B_554870,-0.01896179032360609,0.2963951935914553,0.75,0.11599926946086181,0.14953271028037382,93.625,Pass,medio,0
DDD_2013J_543825,-0.05899234693877549,0.14285714285714285,0.8571428571428571,0.13889597487592897,0.0,16.0,Pass,baixo,0
GGG_2014B_415399,0.0,0.0,0.0,0.0,0.0,0.0,Fail,baixo,0
BBB_2014B_545196,-0.012600690448791712,0.48818565400843883,0.6363636363636364,0.09880469905080508,0.0,71.81818181818181,Pass,medio,0
DDD_2013J_599425,-0.030927185689090447,0.49382716049382713,0.8571428571428571,0.08910079641329366,0.0,81.0,Pass,alto,0
CCC_2014J_633179,0.023188405797101453,0.38623188405797104,0.875,0.19054629949051075,0.013043478260869565,28.75,Pass,medio,0
EEE_2014J_549922,-0.03796296296296298,0.47890946502057613,1.0,0.09743314373113866,0.08950617283950617,64.8,Fail,alto,0
FFF_2013B_548095,-0.02222884105908357,0.30099857346647646,0.46153846153846156,0.10196005574784092,0.0,53.92307692307692,Distinction,alto,0
FFF_2013B_559405,-0.022187336473050767,0.23571428571428574,0.38461538461538464,0.11817771776846085,0.0,32.30769230769231,Fail,medio,0
DDD_2014J_697674,0.0015971606033717914,0.2670807453416149,1.0,0.07818990724961364,0.2484472049689441,26.833333333333332,Pass,medio,1
FFF_2014J_605228,-0.020772393074551348,0.14148681055155876,0.46153846153846156,0.13103250568751093,0.0,42.76923076923077,Fail,medio,0
DDD_2013B_157298,-0.008159840159840165,0.4781818181818182,0.9285714285714286,0.06857093663735388,0.0036363636363636364,39.285714285714285,Pass,medio,0
BBB_2013B_494838,-0.04545454545454544,1.0,0.09090909090909091,0.2874797872880344,0.0,0.8181818181818182,Fail,baixo,2
DDD_2014B_622086,-0.042436974789915954,0.3568627450980392,1.0,0.09976315430626577,0.052941176470588235,24.285714285714285,Pass,baixo,0
GGG_2013J_2067146,0.0,0.0,0.0,0.0,0.0,0.0,Fail,baixo,0
BBB_2014J_294134,0.10628930817610063,0.6221174004192872,1.0,0.1687199965782424,0.5188679245283019,63.6,Pass,medio,1
CCC_2014J_585359,0.004047619047619049,0.5422222222222223,0.75,0.1334270503975029,0.23666666666666666,37.5,Pass,medio,1
BBB_2014J_142324,-0.032142857142857154,0.10714285714285715,0.8,0.2052872551885702,0.25,5.6,Pass,baixo,1
DDD_2014B_522205,-0.044938505203405886,0.42825607064017657,0.5714285714285714,0.1523325706731991,0.0,21.571428571428573,Fail,baixo,0
EEE_2014B_481618,-0.0011428571428571345,0.5644444444444444,1.0,0.10294176413254773,0.05523809523809524,105.0,Pass,alto,0
BBB_2014B_483031,-0.00759090909090909,0.5516666666666666,0.45454545454545453,0.11431253374805768,0.0,18.181818181818183,Distinction,baixo,0
BBB_2013J_2411595,-0.023301193755739212,0.42213804713804715,0.6363636363636364,0.11269634668974798,0.0,36.0,Pass,medio,0
DDD_2014J_686018,-0.030646448523543503,0.46694599627560524,1.0,0.06293014990210727,0.05307262569832402,59.666666666666664,Pass,medio,0
BBB_2014B_551718,-0.03314855875831485,0.43394308943089427,0.36363636363636365,0.13734481967173465,0.0,14.909090909090908,Fail,medio,0
FFF_2014B_544108,-0.01022360723853261,0.5453980099502488,0.46153846153846156,0.19906108455663646,0.0,61.84615384615385,Pass,medio,0
FFF_2013J_597293,-0.021531371853952493,0.6488172043010753,0.46153846153846156,0.11201712652389036,0.0,59.61538461538461,Pass,alto,0
DDD_2013J_597403,-0.03444632290786136,0.4289940828402367,1.0,0.07467476864026298,0.011834319526627219,24.142857142857142,Pass,medio,0
BBB_2014B_1864697,-0.03100882240122746,0.3621659634317862,0.6363636363636364,0.12077731027199724,0.0,107.72727272727273,Distinction,alto,0
BBB_2014B_604106,-0.015087040618955506,0.3652482269503546,0.5454545454545454,0.17215786808554454,0.0,4.2727272727272725,Pass,baixo,0
DDD_2013J_600067,-0.0019106407995296913,0.5740740740740741,0.8571428571428571,0.08363748027644322,0.0,34.714285714285715,Pass,alto,0
FFF_2013J_481314,-0.01899244701913911,0.5316174134095965,0.46153846153846156,0.09305822882579572,0.0,80.6923076923077,Pass,alto,0
BBB_2013J_601497,-0.019915433403805496,0.5821705426356589,0.6363636363636364,0.10212094926665832,0.0,19.545454545454547,Distinction,medio,0
FFF_2014B_615225,-0.012679172944786727,0.25861450107681266,0.46153846153846156,0.14755838647636432,0.0,214.30769230769232,Pass,alto,0
DDD_2014B_632725,-0.10714285714285714,0.22043010752688172,0.14285714285714285,0.34992710611188266,0.0,4.428571428571429,Fail,baixo,2
CCC_2014J_178072,0.06333333333333332,0.5077777777777778,0.75,0.2235011807077935,0.7,18.75,Pass,baixo,1
GGG_2014B_508573,-0.034090909090909075,0.3444010416666667,0.4,0.16426884345391704,0.0,25.6,Pass,medio,0
CCC_2014J_618875,-0.0025445292620865116,0.31361323155216286,1.0,0.04049445643878424,0.1851145038167939,65.5,Fail,medio,1
DDD_2014J_586729,-0.01781512605042016,0.3352941176470588,1.0,0.11210817536410045,0.27647058823529413,28.333333333333332,Pass,baixo,1
CCC_2014J_294112,-0.04236098108968359,0.2761031017911752,0.75,0.15008833249766884,0.003931847968545216,95.375,Fail,medio,0
EEE_2014J_464957,-0.06099706744868036,0.23607038123167157,1.0,0.11435295767254028,0.02932551319648094,68.2,Fail,baixo,0
BBB_2013J_588265,-0.010974025974025973,0.6511904761904762,0.45454545454545453,0.12570177435863863,0.0,25.454545454545453,Pass,baixo,0
AAA_2014J_406682,0.0076086956521738995,0.4897342995169082,1.0,0.06100097960449009,0.2391304347826087,110.4,Distinction,alto,1
FFF_2014B_631680,-0.023506763738622902,0.41691713181623014,0.46153846153846156,0.10945956070853549,0.0,179.15384615384616,Pass,alto,0
FFF_2013J_568204,-0.018095803810089527,0.3983268983268983,0.46153846153846156,0.12153807544342964,0.0,119.53846153846153,Fail,alto,0
FFF_2013J_564702,-0.018037739153277,0.38379814077025237,0.46153846153846156,0.1026852135059374,0.0,57.92307692307692,Pass,alto,0
BBB_2013B_483411,-0.025880817746846453,0.14274322169059012,0.36363636363636365,0.13786065028515168,0.0,19.0,Fail,baixo,0
CCC_2014B_465843,-0.003989531469424239,0.10545129579982127,1.0,0.09802207213138692,0.10991957104557641,93.25,Fail,medio,1
DDD_2013B_483869,-0.019054629580945386,0.43899521531100477,0.5,0.12120564337871041,0.0,29.857142857142858,Fail,medio,0
DDD_2013J_567152,0.003990422984836394,0.6256983240223464,0.7142857142857143,0.16412624774688958,0.0,25.571428571428573,Pass,medio,0
FFF_2013J_598001,-0.019423153876935387,0.47385620915032683,0.3076923076923077,0.147366278103489,0.0,27.46153846153846,Fail,medio,0
FFF_2014J_687846,-0.017722308366480137,0.19452965235173825,0.38461538461538464,0.14143968562367767,0.0,50.15384615384615,Pass,medio,0
BBB_2013J_592081,-0.037056277056277044,0.6174603174603175,0.2727272727272727,0.15082340544761783,0.0,9.545454545454545,Fail,baixo,0
DDD_2014B_2450600,-0.012356127285037245,0.27698788836229593,1.0,0.0997992230158191,0.045813586097946286,90.42857142857143,Distinction,alto,0
DDD_2014B_617442,-0.0807330827067669,0.49298245614035086,0.8571428571428571,0.1963946619649995,0.002631578947368421,54.285714285714285,Pass,alto,0
FFF_2013J_574874,-0.01837907720260661,0.42289348171701113,0.46153846153846156,0.08617745267958701,0.0,241.92307692307693,Distinction,alto,0
DDD_2014B_560944,-0.04563492063492063,0.4953703703703704,0.7142857142857143,0.13044031677693332,0.0,10.285714285714286,Pass,medio,0
BBB_2013J_611012,-0.021886936592818942,0.7065826330532213,0.5454545454545454,0.1278239470814688,0.0,21.636363636363637,Pass,medio,0
CCC_2014J_677085,-0.0037180037180037295,0.4627127127127127,1.0,0.09490911889253353,0.22822822822822822,83.25,Pass,medio,1
FFF_2013B_416725,-0.013305557652840598,0.49521132625442427,0.46153846153846156,0.13167971570267353,0.0,123.15384615384616,Distinction,alto,0
EEE_2014B_623667,0.02622377622377621,0.4807692307692308,1.0,0.03989079915231235,0.24475524475524477,57.2,Pass,medio,1
DDD_2013J_2554973,0.0006957328385899849,0.1958874458874459,1.0,0.12364486024966455,0.07142857142857142,22.0,Fail,medio,0
BBB_2013B_550163,-0.03291536050156739,0.21839080459770113,0.18181818181818182,0.20911699160072622,0.0,2.6363636363636362,Fail,baixo,2
BBB_2014B_617146,-0.033169533169533166,0.5292792792792793,0.18181818181818182,0.2068848593122445,0.0,6.7272727272727275,Fail,baixo,2
DDD_2014B_1945434,-0.06901544401544404,0.686936936936937,0.8571428571428571,0.17609945068696853,0.0,21.142857142857142,Pass,medio,0
FFF_2014J_2584244,-0.014659270998415208,0.3444268357105124,0.46153846153846156,0.11921093056697973,0.0,97.07692307692308,Pass,alto,0
CCC_2014B_62278,-0.024042950513538757,0.26563958916900093,0.75,0.08509988209879138,0.0,44.625,Fail,medio,0
DDD_2014B_568686,-0.08209325396825398,0.19791666666666666,0.42857142857142855,0.18948672399117847,0.0,20.571428571428573,Fail,baixo,2
DDD_2013J_603431,-0.031221922731356686,0.2950733752620545,0.8571428571428571,0.1302537386958403,0.0,45.42857142857143,Pass,medio,0
DDD_2014J_420762,-0.05934065934065931,0.5555555555555556,1.0,0.1220756996332111,0.038461538461538464,13.0,Distinction,medio,0
DDD_2013B_445573,-0.02414773724677879,0.5463258785942492,0.35714285714285715,0.13955799409458686,0.0,22.357142857142858,Fail,medio,0
FFF_2014B_344451,-0.017543253392309995,0.34102026554856746,0.46153846153846156,0.09716385589383117,0.0,36.69230769230769,Pass,alto,0
FFF_2013B_58549,-0.017278176369085463,0.23852157943067034,0.46153846153846156,0.09498041135421031,0.0,55.84615384615385,Distinction,alto,0
GGG_2013J_590711,-0.03923444976076554,0.3333333333333333,0.4,0.1551516102419334,0.0,3.8,Pass,medio,0
DDD_2013B_403902,-0.013320013320013329,0.16835016835016836,0.42857142857142855,0.10857087622497363,0.0,14.142857142857142,Fail,baixo,0
FFF_2013B_554852,-0.02161172161172161,0.4584126984126984,0.46153846153846156,0.15871586673706037,0.0,121.15384615384616,Pass,alto,0
DDD_2013J_515056,-0.03617216117216116,0.46709401709401704,0.8571428571428571,0.07570109101726759,0.0,55.714285714285715,Pass,medio,0
BBB_2014J_125535,0.035526315789473684,0.33991228070175433,0.8,0.2107564531597466,0.0,15.2,Pass,baixo,0
DDD_2014B_187663,-0.013669618790912589,0.20979335130278529,1.0,0.11115359909229859,0.013477088948787063,53.0,Pass,medio,0
BBB_2013J_293760,-0.0008417508417508419,0.10648148148148147,0.5454545454545454,0.11536593736708292,0.0,9.818181818181818,Pass,baixo,0
DDD_2013J_560243,0.01451112989574528,0.2636423405654175,1.0,0.10192191796921325,0.01775147928994083,72.42857142857143,Pass,alto,0
CCC_2014J_561208,-0.03529287821323221,0.31268436578171094,0.875,0.10751734393395741,0.0,14.125,Pass,baixo,0
CCC_2014J_520750,0.0,0.0,0.0,0.0,0.0,0.0,Fail,baixo,0
BBB_2014B_531755,-0.025918762088974853,0.6666666666666666,0.18181818181818182,0.1954439934865629,0.0,4.2727272727272725,Pass,baixo,2
DDD_2013B_2615892,-0.0035264483627204103,0.47565071368597817,1.0,0.04178973134697073,0.020151133501259445,85.07142857142857,Pass,alto,0
DDD_2013J_169700,0.0,0.0,0.0,0.0,0.0,0.0,Fail,baixo,0
DDD_2013J_590392,0.012322472848788641,0.38401559454191037,0.8571428571428571,0.11011101347098015,0.0,24.428571428571427,Pass,medio,0
BBB_2013J_2540724,-0.016150137741046827,0.6824494949494949,0.6363636363636364,0.12332439845530081,0.0,24.0,Distinction,medio,0
BBB_2014B_481150,-0.009870129870129864,0.2619047619047619,0.5454545454545454,0.09221007862539322,0.0,25.454545454545453,Pass,baixo,0
DDD_2014J_693452,-0.05623582766439908,0.582010582010582,1.0,0.10687306813081564,0.047619047619047616,21.0,Pass,baixo,0
BBB_2013B_466959,-0.03269794721407623,0.26881720430107525,0.2727272727272727,0.22415321978179434,0.0,5.636363636363637,Fail,baixo,2
FFF_2013J_585162,-0.01815183644023034,0.5314576006252442,0.46153846153846156,0.11181503586450914,0.0,65.61538461538461,Pass,alto,0
CCC_2014B_316227,-0.007397356882224889,0.43550118051083925,1.0,0.05211579840628312,0.13586606567933032,194.125,Distinction,alto,1
EEE_2013J_593587,0.054529616724738696,0.4372822299651568,1.0,0.2043232432050362,0.059233449477351915,114.8,Pass,medio,1
EEE_2014J_691875,0.017815126050420176,0.4207282913165266,1.0,0.08303949797108191,0.13109243697478992,119.0,Pass,alto,1
GGG_2014B_622516,-0.028760330578512378,0.6454545454545454,0.4,0.1879423157503035,0.0,5.5,Fail,medio,0
BBB_2013J_492726,-0.008212809917355367,0.5066287878787878,0.6363636363636364,0.10487954165112308,0.0,16.0,Pass,baixo,0
CCC_2014J_602533,-0.0036251342642320155,0.16917293233082709,1.0,0.049900616362625126,0.10150375939849623,66.5,Distinction,medio,1
CCC_2014J_608978,-0.016335978835978843,0.5081018518518519,1.0,0.043840844835905314,0.06319444444444444,180.0,Distinction,alto,0
BBB_2014B_613881,-0.019370990455327804,0.4704532415375789,0.6363636363636364,0.11170338773591464,0.0,52.81818181818182,Pass,alto,0
EEE_2013J_576036,0.0012165450121654476,0.12287104622871046,1.0,0.05906748865417914,0.1386861313868613,82.2,Pass,medio,1
FFF_2014J_677155,-0.01819799813856277,0.4437840515106488,0.46153846153846156,0.08853013967847426,0.0,103.53846153846153,Pass,alto,0
AAA_2014J_2688166,-0.056410256410256404,0.5064102564102564,0.8,0.159531694669767,0.14743589743589744,31.2,Pass,medio,0
GGG_2014J_648083,-0.018930041152263353,0.5843621399176955,0.3,0.28776027296862716,0.0,8.1,Distinction,medio,2
DDD_2013B_378953,-0.01851325145442793,0.1372549019607843,0.5714285714285714,0.08909544729616282,0.0,24.285714285714285,Fail,baixo,0
DDD_2014J_592221,-0.018181818181818164,0.45075757575757575,1.0,0.08637692614387409,0.17424242424242425,22.0,Pass,baixo,1
BBB_2013J_2468706,-0.016238244514106576,0.4827586206896552,0.6363636363636364,0.10824084180253371,0.0,13.181818181818182,Distinction,medio,0
